episodes,rewards
0,68
1,55
2,29
3,9
4,17
5,18
6,28
7,29
8,41
9,32
10,35
11,97
12,30
13,26
14,32
15,24
16,22
17,35
18,29
19,32
20,50
21,25
22,56
23,36
24,147
25,36
26,30
27,29
28,35
29,146
30,35
31,62
32,44
33,39
34,38
35,31
36,36
37,40
38,38
39,31
40,32
41,28
42,25
43,22
44,25
45,24
46,17
47,19
48,25
49,19
50,20
51,24
52,20
53,14
54,21
55,26
56,22
57,23
58,21
59,21
60,33
61,25
62,20
63,46
64,37
65,42
66,24
67,38
68,36
69,49
70,24
71,25
72,24
73,34
74,34
75,26
76,24
77,37
78,23
79,92
80,32
81,66
82,35
83,30
84,29
85,33
86,27
87,24
88,31
89,27
90,52
91,31
92,35
93,36
94,60
95,34
96,117
97,55
98,34
99,66
100,41
101,43
102,42
103,42
104,29
105,48
106,55
107,35
108,32
109,83
110,78
111,47
112,71
113,32
114,45
115,85
116,32
117,35
118,54
119,90
120,25
121,32
122,31
123,50
124,52
125,41
126,56
127,29
128,28
129,53
130,28
131,35
132,44
133,65
134,37
135,41
136,43
137,37
138,49
139,49
140,48
141,46
142,40
143,36
144,35
145,33
146,50
147,50
148,32
149,45
150,60
151,53
152,41
153,46
154,59
155,100
156,120
157,45
158,38
159,56
160,70
161,46
162,57
163,53
164,35
165,84
166,53
167,37
168,55
169,40
170,199
171,51
172,48
173,53
174,137
175,80
176,49
177,329
178,40
179,93
180,105
181,126
182,59
183,130
184,44
185,143
186,55
187,126
188,388
189,66
190,78
191,57
192,40
193,63
194,82
195,74
196,52
197,50
198,54
199,80
200,45
201,142
202,188
203,49
204,80
205,72
206,222
207,41
208,90
209,59
210,77
211,54
212,73
213,58
214,139
215,50
216,108
217,71
218,76
219,54
220,159
221,142
222,91
223,99
224,46
225,85
226,94
227,94
228,49
229,61
230,47
231,53
232,72
233,56
234,38
235,43
236,38
237,58
238,55
239,62
240,63
241,47
242,71
243,38
244,40
245,52
246,52
247,50
248,47
249,73
250,56
251,68
252,44
253,42
254,84
255,58
256,66
257,75
258,36
259,32
260,58
261,40
262,43
263,43
264,41
265,50
266,31
267,59
268,34
269,61
270,39
271,41
272,77
273,50
274,33
275,113
276,36
277,89
278,41
279,74
280,48
281,86
282,132
283,89
284,55
285,37
286,50
287,77
288,58
289,58
290,48
291,79
292,90
293,200
294,60
295,66
296,94
297,75
298,72
299,54
