episodes,rewards
0,29.0
1,43.0
2,27.0
3,22.0
4,27.0
5,12.0
6,9.0
7,28.0
8,24.0
9,29.0
10,32.0
11,32.0
12,9.0
13,33.0
14,25.0
15,22.0
16,22.0
17,21.0
18,126.0
19,13.0
20,31.0
21,40.0
22,62.0
23,43.0
24,18.0
25,66.0
26,56.0
27,51.0
28,16.0
29,72.0
30,50.0
31,54.0
32,116.0
33,133.0
34,77.0
35,110.0
36,60.0
37,68.0
38,132.0
39,132.0
40,166.0
41,136.0
42,242.0
43,248.0
44,345.0
45,298.0
46,411.0
47,500.0
48,283.0
49,186.0
50,232.0
51,268.0
52,326.0
53,357.0
54,434.0
55,309.0
56,391.0
57,405.0
58,331.0
59,388.0
60,432.0
61,352.0
62,257.0
63,203.0
64,347.0
65,329.0
66,347.0
67,258.0
68,462.0
69,374.0
70,429.0
71,213.0
72,266.0
73,221.0
74,184.0
75,172.0
76,217.0
77,213.0
78,235.0
79,182.0
80,157.0
81,170.0
82,148.0
83,149.0
84,155.0
85,135.0
86,107.0
87,138.0
88,149.0
89,166.0
90,163.0
91,165.0
92,189.0
93,189.0
94,176.0
95,182.0
96,172.0
97,187.0
98,172.0
99,190.0
100,184.0
101,177.0
102,203.0
103,191.0
104,186.0
105,215.0
106,217.0
107,200.0
108,216.0
109,201.0
110,228.0
111,247.0
112,245.0
113,227.0
114,220.0
115,262.0
116,227.0
117,229.0
118,273.0
119,267.0
120,304.0
121,273.0
122,309.0
123,311.0
124,300.0
125,312.0
126,272.0
127,246.0
128,278.0
129,252.0
130,252.0
131,246.0
132,273.0
133,250.0
134,245.0
135,256.0
136,296.0
137,266.0
138,258.0
139,256.0
140,261.0
141,303.0
142,280.0
143,263.0
144,298.0
145,268.0
146,288.0
147,279.0
148,291.0
149,254.0
150,218.0
151,241.0
152,286.0
153,242.0
154,212.0
155,251.0
156,251.0
157,260.0
158,240.0
159,267.0
160,264.0
161,227.0
162,229.0
163,292.0
164,298.0
165,296.0
166,285.0
167,266.0
168,293.0
169,268.0
170,277.0
171,257.0
172,242.0
173,254.0
174,308.0
175,269.0
176,242.0
177,273.0
178,251.0
179,266.0
180,329.0
181,285.0
182,258.0
183,299.0
184,337.0
185,310.0
186,239.0
187,291.0
188,337.0
189,298.0
190,300.0
191,274.0
192,345.0
193,278.0
194,371.0
195,266.0
196,329.0
197,276.0
198,380.0
199,48.0
