episodes,rewards
0,23.0
1,18.0
2,21.0
3,19.0
4,16.0
5,13.0
6,17.0
7,25.0
8,23.0
9,21.0
10,10.0
11,21.0
12,38.0
13,19.0
14,26.0
15,11.0
16,24.0
17,18.0
18,23.0
19,24.0
20,22.0
21,34.0
22,13.0
23,28.0
24,26.0
25,22.0
26,10.0
27,13.0
28,15.0
29,33.0
30,15.0
31,18.0
32,39.0
33,30.0
34,16.0
35,18.0
36,49.0
37,18.0
38,29.0
39,29.0
40,11.0
41,51.0
42,21.0
43,55.0
44,53.0
45,29.0
46,19.0
47,22.0
48,64.0
49,11.0
50,51.0
51,41.0
52,51.0
53,47.0
54,21.0
55,43.0
56,52.0
57,19.0
58,50.0
59,68.0
60,86.0
61,45.0
62,25.0
63,39.0
64,73.0
65,57.0
66,76.0
67,43.0
68,92.0
69,127.0
70,73.0
71,18.0
72,62.0
73,63.0
74,51.0
75,102.0
76,168.0
77,50.0
78,101.0
79,177.0
80,97.0
81,138.0
82,158.0
83,234.0
84,159.0
85,154.0
86,204.0
87,128.0
88,200.0
89,176.0
90,131.0
91,151.0
92,137.0
93,147.0
94,190.0
95,164.0
96,223.0
97,196.0
98,216.0
99,165.0
100,179.0
101,149.0
102,160.0
103,149.0
104,188.0
105,196.0
106,163.0
107,181.0
108,188.0
109,172.0
110,161.0
111,175.0
112,141.0
113,181.0
114,150.0
115,141.0
116,153.0
117,206.0
118,164.0
119,144.0
120,160.0
121,181.0
122,146.0
123,166.0
124,158.0
125,157.0
126,203.0
127,195.0
128,180.0
129,184.0
130,167.0
131,170.0
132,172.0
133,181.0
134,180.0
135,136.0
136,161.0
137,171.0
138,179.0
139,184.0
140,244.0
141,199.0
142,249.0
143,164.0
144,160.0
145,193.0
146,275.0
147,301.0
148,154.0
149,170.0
150,241.0
151,208.0
152,213.0
153,316.0
154,238.0
155,204.0
156,230.0
157,180.0
158,175.0
159,270.0
160,500.0
161,157.0
162,245.0
163,249.0
164,273.0
165,388.0
166,236.0
167,335.0
168,198.0
169,226.0
170,223.0
171,215.0
172,170.0
173,236.0
174,242.0
175,189.0
176,175.0
177,228.0
178,180.0
179,198.0
180,190.0
181,187.0
182,219.0
183,207.0
184,135.0
185,176.0
186,173.0
187,173.0
188,167.0
189,166.0
190,195.0
191,162.0
192,166.0
193,164.0
194,259.0
195,177.0
196,165.0
197,148.0
198,146.0
199,179.0
