episodes,rewards
0,10.0
1,38.0
2,12.0
3,43.0
4,10.0
5,26.0
6,18.0
7,15.0
8,37.0
9,51.0
10,73.0
11,68.0
12,44.0
13,64.0
14,63.0
15,21.0
16,116.0
17,65.0
18,97.0
19,107.0
20,133.0
21,124.0
22,103.0
23,175.0
24,150.0
25,173.0
26,235.0
27,94.0
28,126.0
29,220.0
30,500.0
31,146.0
32,145.0
33,94.0
34,132.0
35,246.0
36,145.0
37,160.0
38,60.0
39,197.0
40,116.0
41,69.0
42,500.0
43,32.0
44,411.0
45,65.0
46,185.0
47,259.0
48,219.0
49,239.0
50,139.0
51,125.0
52,176.0
53,314.0
54,177.0
55,209.0
56,315.0
57,302.0
58,125.0
59,429.0
60,277.0
61,165.0
62,50.0
63,192.0
64,137.0
65,164.0
66,208.0
67,123.0
68,241.0
69,115.0
70,183.0
71,56.0
72,278.0
73,195.0
74,176.0
75,439.0
76,226.0
77,117.0
78,138.0
79,154.0
80,301.0
81,143.0
82,344.0
83,196.0
84,157.0
85,284.0
86,125.0
87,47.0
88,132.0
89,278.0
90,115.0
91,111.0
92,151.0
93,101.0
94,135.0
95,37.0
96,66.0
97,500.0
98,132.0
99,159.0
100,119.0
101,333.0
102,110.0
103,102.0
104,319.0
105,221.0
106,95.0
107,35.0
108,270.0
109,106.0
110,238.0
111,183.0
112,62.0
113,70.0
114,141.0
115,169.0
116,232.0
117,40.0
118,114.0
119,212.0
120,138.0
121,96.0
122,62.0
123,11.0
124,31.0
125,129.0
126,110.0
127,115.0
128,112.0
129,128.0
130,48.0
131,163.0
132,33.0
133,74.0
134,66.0
135,57.0
136,200.0
137,95.0
138,233.0
139,181.0
140,128.0
141,112.0
142,91.0
143,197.0
144,154.0
145,116.0
146,139.0
147,234.0
148,120.0
149,98.0
150,168.0
151,138.0
152,204.0
153,165.0
154,113.0
155,153.0
156,52.0
157,112.0
158,100.0
159,102.0
160,120.0
161,99.0
162,156.0
163,130.0
164,136.0
165,93.0
166,104.0
167,169.0
168,229.0
169,132.0
170,131.0
171,113.0
172,182.0
173,142.0
174,162.0
175,153.0
176,271.0
177,126.0
178,143.0
179,61.0
180,153.0
181,110.0
182,95.0
183,98.0
184,107.0
185,206.0
186,134.0
187,247.0
188,83.0
189,169.0
190,223.0
191,148.0
192,126.0
193,98.0
194,100.0
195,125.0
196,107.0
197,109.0
198,101.0
199,244.0
200,116.0
201,101.0
202,104.0
203,131.0
204,141.0
205,203.0
206,178.0
207,14.0
208,11.0
209,11.0
210,102.0
211,146.0
212,98.0
213,100.0
214,113.0
215,98.0
216,18.0
217,35.0
218,58.0
219,71.0
220,115.0
221,15.0
222,104.0
223,45.0
224,108.0
225,182.0
226,108.0
227,101.0
228,172.0
229,35.0
230,81.0
231,210.0
232,306.0
233,101.0
234,128.0
235,228.0
236,96.0
237,229.0
238,118.0
239,139.0
240,15.0
241,94.0
242,161.0
243,204.0
244,116.0
245,136.0
246,148.0
247,182.0
248,149.0
249,102.0
250,168.0
251,230.0
252,163.0
253,240.0
254,92.0
255,143.0
256,254.0
257,158.0
258,149.0
259,130.0
260,97.0
261,170.0
262,236.0
263,95.0
264,339.0
265,135.0
266,87.0
267,117.0
268,100.0
269,122.0
270,94.0
271,162.0
272,80.0
273,151.0
274,101.0
275,97.0
276,104.0
277,201.0
278,172.0
279,172.0
280,161.0
281,92.0
282,102.0
283,93.0
284,163.0
285,120.0
286,134.0
287,198.0
288,81.0
289,75.0
290,129.0
291,95.0
292,108.0
293,197.0
294,118.0
295,114.0
296,84.0
297,247.0
298,92.0
299,109.0
