episodes,rewards
0,14.0
1,11.0
2,16.0
3,33.0
4,18.0
5,25.0
6,21.0
7,30.0
8,18.0
9,16.0
10,21.0
11,9.0
12,12.0
13,10.0
14,14.0
15,12.0
16,13.0
17,37.0
18,13.0
19,14.0
20,10.0
21,19.0
22,9.0
23,19.0
24,20.0
25,74.0
26,16.0
27,13.0
28,15.0
29,32.0
30,12.0
31,26.0
32,11.0
33,25.0
34,20.0
35,35.0
36,38.0
37,43.0
38,23.0
39,85.0
40,57.0
41,55.0
42,24.0
43,126.0
44,130.0
45,176.0
46,115.0
47,160.0
48,270.0
49,187.0
50,400.0
51,155.0
52,251.0
53,317.0
54,263.0
55,277.0
56,200.0
57,253.0
58,299.0
59,210.0
60,223.0
61,214.0
62,226.0
63,298.0
64,167.0
65,232.0
66,284.0
67,219.0
68,310.0
69,170.0
70,339.0
71,266.0
72,177.0
73,198.0
74,199.0
75,303.0
76,389.0
77,216.0
78,283.0
79,181.0
80,223.0
81,388.0
82,227.0
83,242.0
84,271.0
85,324.0
86,244.0
87,250.0
88,209.0
89,285.0
90,207.0
91,230.0
92,202.0
93,184.0
94,163.0
95,161.0
96,195.0
97,191.0
98,197.0
99,162.0
100,176.0
101,183.0
102,174.0
103,162.0
104,152.0
105,163.0
106,166.0
107,11.0
108,149.0
109,10.0
110,9.0
111,9.0
112,11.0
113,9.0
114,173.0
115,180.0
116,181.0
117,187.0
118,176.0
119,173.0
120,180.0
121,183.0
122,158.0
123,170.0
124,169.0
125,178.0
126,183.0
127,183.0
128,189.0
129,174.0
130,199.0
131,187.0
132,186.0
133,172.0
134,207.0
135,180.0
136,178.0
137,188.0
138,197.0
139,183.0
140,192.0
141,186.0
142,207.0
143,238.0
144,173.0
145,195.0
146,203.0
147,198.0
148,183.0
149,197.0
150,227.0
151,215.0
152,240.0
153,203.0
154,222.0
155,208.0
156,221.0
157,192.0
158,182.0
159,204.0
160,192.0
161,211.0
162,265.0
163,202.0
164,215.0
165,222.0
166,231.0
167,224.0
168,222.0
169,214.0
170,221.0
171,217.0
172,192.0
173,187.0
174,208.0
175,255.0
176,210.0
177,262.0
178,210.0
179,202.0
180,219.0
181,229.0
182,231.0
183,178.0
184,358.0
185,206.0
186,200.0
187,221.0
188,229.0
189,280.0
190,223.0
191,213.0
192,234.0
193,252.0
194,230.0
195,236.0
196,284.0
197,266.0
198,253.0
199,242.0
200,314.0
201,186.0
202,296.0
203,221.0
204,259.0
205,218.0
206,268.0
207,455.0
208,301.0
209,258.0
210,246.0
211,214.0
212,295.0
213,500.0
214,216.0
215,500.0
216,262.0
217,500.0
218,282.0
219,398.0
220,173.0
221,315.0
222,252.0
223,236.0
224,262.0
225,31.0
226,500.0
227,166.0
228,500.0
229,500.0
230,500.0
231,500.0
232,500.0
233,500.0
234,500.0
235,11.0
236,10.0
237,12.0
238,500.0
239,500.0
240,331.0
241,252.0
242,212.0
243,180.0
244,179.0
245,402.0
246,203.0
247,153.0
248,176.0
249,193.0
250,202.0
251,210.0
252,168.0
253,197.0
254,218.0
255,175.0
256,500.0
257,169.0
258,184.0
259,187.0
260,157.0
261,153.0
262,153.0
263,163.0
264,163.0
265,167.0
266,142.0
267,192.0
268,143.0
269,155.0
270,150.0
271,171.0
272,152.0
273,158.0
274,149.0
275,152.0
276,156.0
277,153.0
278,157.0
279,168.0
280,174.0
281,152.0
282,173.0
283,145.0
284,166.0
285,163.0
286,163.0
287,157.0
288,156.0
289,173.0
290,175.0
291,178.0
292,161.0
293,169.0
294,179.0
295,500.0
296,179.0
297,158.0
298,219.0
299,182.0
300,199.0
301,500.0
302,169.0
303,171.0
304,500.0
305,190.0
306,170.0
307,190.0
308,243.0
309,192.0
310,175.0
311,500.0
312,229.0
313,213.0
314,345.0
315,500.0
316,500.0
317,141.0
318,252.0
319,500.0
320,234.0
321,190.0
322,354.0
323,252.0
324,500.0
325,276.0
326,132.0
327,334.0
328,500.0
329,454.0
330,381.0
331,166.0
332,225.0
333,500.0
334,500.0
335,169.0
336,500.0
337,500.0
338,500.0
339,500.0
340,399.0
341,142.0
342,11.0
343,500.0
344,500.0
345,500.0
346,500.0
347,500.0
348,500.0
349,500.0
350,426.0
351,500.0
352,288.0
353,371.0
354,260.0
355,266.0
356,274.0
357,262.0
358,280.0
359,500.0
360,500.0
361,500.0
362,251.0
363,269.0
364,239.0
365,253.0
366,305.0
367,313.0
368,221.0
369,260.0
370,400.0
371,421.0
372,500.0
373,280.0
374,101.0
375,500.0
376,415.0
377,220.0
378,500.0
379,91.0
380,280.0
381,263.0
382,98.0
383,112.0
384,110.0
385,184.0
386,189.0
387,13.0
388,15.0
389,85.0
390,143.0
391,132.0
392,261.0
393,500.0
394,163.0
395,168.0
396,313.0
397,198.0
398,298.0
399,500.0
400,110.0
401,389.0
402,500.0
403,284.0
404,500.0
405,152.0
406,187.0
407,160.0
408,429.0
409,500.0
410,363.0
411,309.0
412,282.0
413,264.0
414,363.0
415,308.0
416,203.0
417,185.0
418,225.0
419,231.0
420,163.0
421,253.0
422,170.0
423,199.0
424,219.0
425,181.0
426,211.0
427,231.0
428,187.0
429,244.0
430,310.0
431,202.0
432,199.0
433,174.0
434,449.0
435,391.0
436,353.0
437,319.0
438,370.0
439,312.0
440,402.0
441,367.0
442,381.0
443,214.0
444,385.0
445,500.0
446,342.0
447,500.0
448,452.0
449,43.0
450,99.0
451,11.0
452,321.0
453,178.0
454,172.0
455,204.0
456,165.0
457,162.0
458,189.0
459,149.0
460,148.0
461,155.0
462,175.0
463,169.0
464,160.0
465,177.0
466,196.0
467,193.0
468,189.0
469,180.0
470,183.0
471,207.0
472,182.0
473,177.0
474,186.0
475,210.0
476,198.0
