episodes,rewards
0,32.0
1,10.0
2,22.0
3,24.0
4,10.0
5,40.0
6,18.0
7,19.0
8,16.0
9,19.0
10,33.0
11,14.0
12,30.0
13,13.0
14,13.0
15,13.0
16,25.0
17,28.0
18,12.0
19,16.0
20,32.0
21,23.0
22,15.0
23,12.0
24,24.0
25,18.0
26,16.0
27,13.0
28,11.0
29,27.0
30,33.0
31,31.0
32,10.0
33,28.0
34,14.0
35,15.0
36,17.0
37,19.0
38,19.0
39,25.0
40,10.0
41,14.0
42,25.0
43,15.0
44,43.0
45,33.0
46,26.0
47,43.0
48,23.0
49,76.0
50,32.0
51,36.0
52,14.0
53,33.0
54,40.0
55,45.0
56,43.0
57,61.0
58,59.0
59,27.0
60,93.0
61,80.0
62,40.0
63,96.0
64,90.0
65,83.0
66,121.0
67,61.0
68,82.0
69,393.0
70,189.0
71,217.0
72,287.0
73,386.0
74,354.0
75,300.0
76,295.0
77,278.0
78,357.0
79,301.0
80,414.0
81,394.0
82,291.0
83,332.0
84,272.0
85,321.0
86,256.0
87,317.0
88,348.0
89,407.0
90,255.0
91,293.0
92,271.0
93,245.0
94,399.0
95,282.0
96,329.0
97,255.0
98,296.0
99,269.0
100,230.0
101,282.0
102,270.0
103,220.0
104,215.0
105,216.0
106,193.0
107,192.0
108,178.0
109,168.0
110,185.0
111,178.0
112,165.0
113,169.0
114,152.0
115,159.0
116,159.0
117,148.0
118,157.0
119,142.0
120,135.0
121,11.0
122,141.0
123,11.0
124,9.0
125,10.0
126,9.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,11.0
133,10.0
134,10.0
135,10.0
136,14.0
137,173.0
138,215.0
139,186.0
140,217.0
141,255.0
142,193.0
143,217.0
144,231.0
145,174.0
146,218.0
147,195.0
148,244.0
149,201.0
150,294.0
151,280.0
152,231.0
153,257.0
154,274.0
155,272.0
156,355.0
157,243.0
158,251.0
159,274.0
160,242.0
161,240.0
162,301.0
163,133.0
164,163.0
165,154.0
166,150.0
167,206.0
168,147.0
169,198.0
170,129.0
171,123.0
172,160.0
173,153.0
174,118.0
175,141.0
176,125.0
177,112.0
178,122.0
179,114.0
180,158.0
181,133.0
182,145.0
183,159.0
184,158.0
185,150.0
186,110.0
187,107.0
188,142.0
189,127.0
190,157.0
191,142.0
192,138.0
193,140.0
194,157.0
195,146.0
196,160.0
197,151.0
198,153.0
199,192.0
200,192.0
201,180.0
202,170.0
203,151.0
204,172.0
205,164.0
206,227.0
207,191.0
208,198.0
209,168.0
210,174.0
211,191.0
212,192.0
