episodes,rewards
0,29.0
1,10.0
2,13.0
3,36.0
4,21.0
5,24.0
6,27.0
7,19.0
8,15.0
9,22.0
10,19.0
11,28.0
12,29.0
13,21.0
14,14.0
15,11.0
16,16.0
17,18.0
18,16.0
19,10.0
20,12.0
21,22.0
22,9.0
23,32.0
24,29.0
25,34.0
26,19.0
27,11.0
28,26.0
29,18.0
30,21.0
31,32.0
32,48.0
33,86.0
34,103.0
35,62.0
36,52.0
37,78.0
38,70.0
39,46.0
40,71.0
41,101.0
42,72.0
43,89.0
44,109.0
45,97.0
46,139.0
47,135.0
48,138.0
49,259.0
50,106.0
51,141.0
52,136.0
53,119.0
54,90.0
55,76.0
56,133.0
57,251.0
58,190.0
59,122.0
60,155.0
61,133.0
62,159.0
63,153.0
64,184.0
65,143.0
66,376.0
67,128.0
68,205.0
69,146.0
70,126.0
71,396.0
72,163.0
73,242.0
74,146.0
75,149.0
76,109.0
77,252.0
78,168.0
79,225.0
80,175.0
81,151.0
82,133.0
83,182.0
84,242.0
85,281.0
86,169.0
87,257.0
88,198.0
89,217.0
90,347.0
91,271.0
92,204.0
93,189.0
94,275.0
95,231.0
96,141.0
97,177.0
98,213.0
99,256.0
100,206.0
101,358.0
102,409.0
103,248.0
104,220.0
105,261.0
106,303.0
107,218.0
108,189.0
109,231.0
110,332.0
111,267.0
112,320.0
113,238.0
114,252.0
115,237.0
116,452.0
117,277.0
118,273.0
119,237.0
120,255.0
121,319.0
122,328.0
123,263.0
124,350.0
125,285.0
126,223.0
127,332.0
128,299.0
129,198.0
130,138.0
131,243.0
132,238.0
133,307.0
134,230.0
135,500.0
136,500.0
137,220.0
138,148.0
139,237.0
140,209.0
141,274.0
142,270.0
143,206.0
144,200.0
145,199.0
146,238.0
147,188.0
148,97.0
149,176.0
150,124.0
151,125.0
152,141.0
153,139.0
154,142.0
155,145.0
156,163.0
157,122.0
158,118.0
159,137.0
160,154.0
161,123.0
162,45.0
163,10.0
164,11.0
165,11.0
166,10.0
167,234.0
168,359.0
169,398.0
170,293.0
171,295.0
172,187.0
173,235.0
174,232.0
175,240.0
176,227.0
177,349.0
178,308.0
179,335.0
180,400.0
181,236.0
182,274.0
183,362.0
184,282.0
185,381.0
186,488.0
187,256.0
188,311.0
189,268.0
190,209.0
191,241.0
192,315.0
193,251.0
194,305.0
195,205.0
196,288.0
197,206.0
