episodes,rewards
0,25.0
1,13.0
2,23.0
3,40.0
4,17.0
5,24.0
6,15.0
7,17.0
8,38.0
9,28.0
10,18.0
11,23.0
12,102.0
13,74.0
14,20.0
15,22.0
16,199.0
17,33.0
18,132.0
19,424.0
20,198.0
21,240.0
22,256.0
23,305.0
24,356.0
25,347.0
26,256.0
27,382.0
28,220.0
29,361.0
30,500.0
31,468.0
32,200.0
33,252.0
34,258.0
35,268.0
36,291.0
37,161.0
38,500.0
39,264.0
40,145.0
41,171.0
42,286.0
43,224.0
44,222.0
45,244.0
46,153.0
47,362.0
48,179.0
49,160.0
50,156.0
51,154.0
52,500.0
53,348.0
54,12.0
55,74.0
56,12.0
57,201.0
58,244.0
59,134.0
60,139.0
61,130.0
62,134.0
63,105.0
64,138.0
65,128.0
66,31.0
67,18.0
68,11.0
69,11.0
70,10.0
71,17.0
72,174.0
73,169.0
74,215.0
75,184.0
76,217.0
77,236.0
78,370.0
79,187.0
80,199.0
81,166.0
82,124.0
83,124.0
84,169.0
85,305.0
86,130.0
87,322.0
88,175.0
89,163.0
90,300.0
91,180.0
92,199.0
93,168.0
94,289.0
95,216.0
96,338.0
97,177.0
98,95.0
99,319.0
100,309.0
101,403.0
102,170.0
103,150.0
104,107.0
105,345.0
106,140.0
107,291.0
108,266.0
109,126.0
110,284.0
111,145.0
112,169.0
113,140.0
114,133.0
115,163.0
116,171.0
117,156.0
118,105.0
119,54.0
120,341.0
121,78.0
122,451.0
123,205.0
124,369.0
125,128.0
126,159.0
127,161.0
128,270.0
129,121.0
130,101.0
131,110.0
132,61.0
133,127.0
134,125.0
135,150.0
136,145.0
137,167.0
138,124.0
139,196.0
140,141.0
141,166.0
142,129.0
143,210.0
144,108.0
145,138.0
146,165.0
147,115.0
148,486.0
149,67.0
150,16.0
151,200.0
152,319.0
153,141.0
154,153.0
155,184.0
156,112.0
157,210.0
158,166.0
159,114.0
160,80.0
161,108.0
162,25.0
163,109.0
164,186.0
165,157.0
166,229.0
167,118.0
168,153.0
169,121.0
170,302.0
171,125.0
172,162.0
173,159.0
174,12.0
175,133.0
176,72.0
177,500.0
178,133.0
179,500.0
180,441.0
181,294.0
182,174.0
183,137.0
184,167.0
185,155.0
186,123.0
187,122.0
188,120.0
189,158.0
190,293.0
191,195.0
192,252.0
193,128.0
194,132.0
195,266.0
196,233.0
197,492.0
198,88.0
199,124.0
200,100.0
201,282.0
202,379.0
203,152.0
204,159.0
205,118.0
206,298.0
207,105.0
208,227.0
209,110.0
210,121.0
211,110.0
212,148.0
213,202.0
214,190.0
215,319.0
216,187.0
217,116.0
218,155.0
219,204.0
220,217.0
221,204.0
222,195.0
223,387.0
224,144.0
225,121.0
226,123.0
227,121.0
228,69.0
229,97.0
230,170.0
231,63.0
232,73.0
233,98.0
234,331.0
235,73.0
236,102.0
237,122.0
238,114.0
239,113.0
240,106.0
241,79.0
242,188.0
243,26.0
244,99.0
245,184.0
246,98.0
247,266.0
248,74.0
249,36.0
250,152.0
251,132.0
252,144.0
253,114.0
254,96.0
255,191.0
256,186.0
257,104.0
258,198.0
259,110.0
260,222.0
261,182.0
262,134.0
263,114.0
264,122.0
265,63.0
266,165.0
267,139.0
268,90.0
269,41.0
270,117.0
271,114.0
272,98.0
273,118.0
274,89.0
275,312.0
276,148.0
277,108.0
278,202.0
279,179.0
280,99.0
281,181.0
282,152.0
283,89.0
284,89.0
285,160.0
286,364.0
287,121.0
288,143.0
289,101.0
290,336.0
291,179.0
292,98.0
293,106.0
294,106.0
295,380.0
296,247.0
297,161.0
298,326.0
299,116.0
