episodes,rewards
0,36.0
1,13.0
2,15.0
3,13.0
4,11.0
5,17.0
6,10.0
7,47.0
8,58.0
9,26.0
10,37.0
11,14.0
12,13.0
13,25.0
14,58.0
15,81.0
16,21.0
17,34.0
18,23.0
19,13.0
20,59.0
21,83.0
22,79.0
23,130.0
24,153.0
25,177.0
26,24.0
27,184.0
28,196.0
29,143.0
30,169.0
31,197.0
32,227.0
33,248.0
34,259.0
35,204.0
36,302.0
37,304.0
38,235.0
39,230.0
40,187.0
41,182.0
42,186.0
43,194.0
44,175.0
45,192.0
46,295.0
47,243.0
48,202.0
49,301.0
50,362.0
51,216.0
52,274.0
53,338.0
54,160.0
55,255.0
56,201.0
57,210.0
58,257.0
59,215.0
60,211.0
61,285.0
62,293.0
63,339.0
64,197.0
65,206.0
66,289.0
67,417.0
68,227.0
69,228.0
70,164.0
71,154.0
72,169.0
73,181.0
74,163.0
75,135.0
76,134.0
77,147.0
78,125.0
79,146.0
80,205.0
81,152.0
82,161.0
83,181.0
84,199.0
85,129.0
86,167.0
87,125.0
88,86.0
89,150.0
90,201.0
91,148.0
92,220.0
93,449.0
94,150.0
95,167.0
96,138.0
97,140.0
98,151.0
99,205.0
100,18.0
101,112.0
102,128.0
103,185.0
104,184.0
105,120.0
106,121.0
107,46.0
108,167.0
109,105.0
110,102.0
111,114.0
112,162.0
113,150.0
114,125.0
115,138.0
116,108.0
117,129.0
118,104.0
119,112.0
120,134.0
121,124.0
122,114.0
123,141.0
124,125.0
125,137.0
126,145.0
127,209.0
128,177.0
129,106.0
130,101.0
131,55.0
132,159.0
133,132.0
134,187.0
135,178.0
136,207.0
137,246.0
138,172.0
139,164.0
140,138.0
141,146.0
142,190.0
143,219.0
144,165.0
145,141.0
146,139.0
147,173.0
148,118.0
149,171.0
150,158.0
151,126.0
152,171.0
153,170.0
154,162.0
155,244.0
156,131.0
157,205.0
158,175.0
159,123.0
160,141.0
161,166.0
162,119.0
163,127.0
164,136.0
165,164.0
166,231.0
167,130.0
168,137.0
169,199.0
170,130.0
171,265.0
172,135.0
173,398.0
174,249.0
175,99.0
176,95.0
177,149.0
178,10.0
179,12.0
180,11.0
181,9.0
182,10.0
183,64.0
184,10.0
185,171.0
186,168.0
187,129.0
188,240.0
189,253.0
190,141.0
191,186.0
192,270.0
193,263.0
194,301.0
195,170.0
196,144.0
197,134.0
198,154.0
199,166.0
200,353.0
201,170.0
202,121.0
203,261.0
204,154.0
205,179.0
206,183.0
207,148.0
208,246.0
209,370.0
210,155.0
211,195.0
212,138.0
213,258.0
214,126.0
215,156.0
216,134.0
217,193.0
218,149.0
219,177.0
220,233.0
221,138.0
222,177.0
223,189.0
224,313.0
225,219.0
226,177.0
227,171.0
228,137.0
229,123.0
230,149.0
231,172.0
232,260.0
233,166.0
234,215.0
235,213.0
236,367.0
237,395.0
238,169.0
239,154.0
240,336.0
241,120.0
242,154.0
243,163.0
244,14.0
245,13.0
246,17.0
247,14.0
248,15.0
249,13.0
250,14.0
251,15.0
252,100.0
253,99.0
254,130.0
255,128.0
256,153.0
257,146.0
258,355.0
259,127.0
260,334.0
261,305.0
262,164.0
263,379.0
264,130.0
265,333.0
266,159.0
267,159.0
268,183.0
269,483.0
270,174.0
271,213.0
272,500.0
273,500.0
274,120.0
275,108.0
276,189.0
277,240.0
278,441.0
279,167.0
280,341.0
281,233.0
282,222.0
283,258.0
284,279.0
285,293.0
286,322.0
287,500.0
288,208.0
289,246.0
290,130.0
291,187.0
292,297.0
293,155.0
294,93.0
295,147.0
296,160.0
297,190.0
298,209.0
299,123.0
