episodes,rewards
0,18.0
1,22.0
2,19.0
3,30.0
4,16.0
5,16.0
6,15.0
7,21.0
8,75.0
9,32.0
10,17.0
11,14.0
12,21.0
13,20.0
14,21.0
15,16.0
16,28.0
17,12.0
18,14.0
19,55.0
20,120.0
21,16.0
22,17.0
23,54.0
24,54.0
25,188.0
26,23.0
27,13.0
28,185.0
29,105.0
30,89.0
31,117.0
32,212.0
33,259.0
34,274.0
35,411.0
36,244.0
37,303.0
38,61.0
39,99.0
40,37.0
41,153.0
42,253.0
43,258.0
44,129.0
45,121.0
46,268.0
47,220.0
48,241.0
49,233.0
50,211.0
51,355.0
52,266.0
53,187.0
54,232.0
55,255.0
56,79.0
57,88.0
58,30.0
59,30.0
60,276.0
61,126.0
62,68.0
63,292.0
64,245.0
65,99.0
66,204.0
67,204.0
68,327.0
69,425.0
70,235.0
71,197.0
72,405.0
73,453.0
74,397.0
75,332.0
76,50.0
77,234.0
78,178.0
79,177.0
80,144.0
81,265.0
82,167.0
83,215.0
84,257.0
85,200.0
86,142.0
87,190.0
88,107.0
89,96.0
90,215.0
91,291.0
92,336.0
93,365.0
94,293.0
95,84.0
96,21.0
97,85.0
98,136.0
99,121.0
100,194.0
101,154.0
102,179.0
103,159.0
104,239.0
105,161.0
106,149.0
107,150.0
108,129.0
109,32.0
110,196.0
111,119.0
112,124.0
113,360.0
114,49.0
115,146.0
116,150.0
117,169.0
118,48.0
119,205.0
120,154.0
121,500.0
122,131.0
123,112.0
124,212.0
125,52.0
126,222.0
127,129.0
128,142.0
129,40.0
130,151.0
131,114.0
132,145.0
133,112.0
134,133.0
135,103.0
136,135.0
137,200.0
138,233.0
139,149.0
140,257.0
141,63.0
142,214.0
143,72.0
144,44.0
145,155.0
146,174.0
147,141.0
148,125.0
149,156.0
150,118.0
151,238.0
152,139.0
153,171.0
154,187.0
155,358.0
156,107.0
157,156.0
158,115.0
159,176.0
160,173.0
161,148.0
162,109.0
163,106.0
164,98.0
165,176.0
166,99.0
167,163.0
168,202.0
169,76.0
170,319.0
171,162.0
172,202.0
173,186.0
174,400.0
175,64.0
176,150.0
177,127.0
178,110.0
179,127.0
180,397.0
181,118.0
182,20.0
183,102.0
184,157.0
185,127.0
186,99.0
187,145.0
188,123.0
189,91.0
190,91.0
191,99.0
192,104.0
193,272.0
194,136.0
195,41.0
196,100.0
197,136.0
198,74.0
199,110.0
200,91.0
201,100.0
202,79.0
203,103.0
204,47.0
205,116.0
206,123.0
207,104.0
208,348.0
209,208.0
210,199.0
211,154.0
212,102.0
213,94.0
214,150.0
215,106.0
216,155.0
217,105.0
218,117.0
219,216.0
220,103.0
221,94.0
222,85.0
223,346.0
224,106.0
225,118.0
226,111.0
227,18.0
228,73.0
229,21.0
230,18.0
231,39.0
232,39.0
233,100.0
234,63.0
235,177.0
236,101.0
237,70.0
238,61.0
239,164.0
240,122.0
241,256.0
242,99.0
243,101.0
244,207.0
245,102.0
246,98.0
247,101.0
248,101.0
249,161.0
250,141.0
251,106.0
252,104.0
253,62.0
254,208.0
255,84.0
256,180.0
257,34.0
258,121.0
259,97.0
260,132.0
261,264.0
262,96.0
263,132.0
264,32.0
265,94.0
266,114.0
267,128.0
268,121.0
269,218.0
270,200.0
271,218.0
272,93.0
273,216.0
274,99.0
275,102.0
276,10.0
277,10.0
278,100.0
279,111.0
280,246.0
281,166.0
282,95.0
283,105.0
284,57.0
285,179.0
286,176.0
287,69.0
288,145.0
289,70.0
290,199.0
291,111.0
292,95.0
293,111.0
294,115.0
295,97.0
296,96.0
297,125.0
298,119.0
299,227.0
