episodes,rewards
0,20
1,22
2,18
3,23
4,15
5,16
6,12
7,22
8,20
9,17
10,35
11,23
12,11
13,24
14,16
15,14
16,18
17,85
18,30
19,12
20,18
21,21
22,14
23,31
24,42
25,26
26,25
27,36
28,12
29,21
30,29
31,14
32,8
33,12
34,13
35,18
36,26
37,19
38,17
39,16
40,11
41,19
42,33
43,19
44,40
45,26
46,21
47,52
48,21
49,8
50,75
51,20
52,23
53,33
54,14
55,9
56,13
57,28
58,18
59,31
60,28
61,29
62,28
63,10
64,56
65,12
66,21
67,19
68,21
69,14
70,56
71,19
72,32
73,24
74,33
75,33
76,21
77,37
78,33
79,36
80,50
81,61
82,38
83,21
84,79
85,49
86,30
87,33
88,56
89,37
90,31
91,41
92,19
93,90
94,53
95,108
96,23
97,88
98,63
99,26
100,33
101,80
102,23
103,75
104,59
105,47
106,56
107,21
108,66
109,31
110,97
111,32
112,28
113,70
114,90
115,56
116,56
117,61
118,15
119,155
120,104
121,35
122,27
123,128
124,49
125,59
126,175
127,35
128,112
129,132
130,63
131,125
132,55
133,117
134,64
135,111
136,86
137,109
138,112
139,180
140,57
141,60
142,51
143,209
144,137
145,135
146,118
147,100
148,195
149,70
150,105
151,26
152,104
153,174
154,41
155,142
156,118
157,147
158,37
159,90
160,305
161,130
162,130
163,91
164,127
165,68
166,113
167,107
168,229
169,161
170,104
171,104
172,75
173,114
174,81
175,139
176,111
177,187
178,155
179,162
180,69
181,187
182,114
183,235
184,198
185,237
186,385
187,185
188,243
189,186
190,180
191,204
192,339
193,96
194,175
195,426
196,170
197,173
198,211
199,229
