episodes,rewards
0,-70.99952520620634
1,-1205.8912568008634
2,-668.8693761765934
3,-1010.659889842371
4,-499.3335809661314
5,-493.00982839829965
6,-765.3215023572608
7,-599.2233618445562
8,-617.0221361432402
9,-1837.986006109483
10,-801.9774309307455
11,-479.5180223110689
12,-632.262057970588
13,-748.7892532889878
14,-540.0556753582714
15,-745.6824501108922
16,-884.2673899032693
17,-948.5667693284084
18,-788.5404165505854
19,-520.4022770150242
20,-1777.6245683105255
21,-679.0193363177184
22,-874.9815944134056
23,-640.7203912946717
24,-973.0556316705625
25,-562.9531708197715
26,-1405.9322877396971
27,-675.6478067754695
28,-1386.805945158413
29,-793.8397544275157
30,-1002.8148870865231
31,-1221.8757198701912
32,-1056.3390641792607
33,-585.0347840754441
34,-552.9180115957652
35,-662.7665892256068
36,-808.2469856317254
37,-887.7752696459994
38,-2511.142409587323
39,-668.9149977894293
40,-559.5246998833627
41,-565.4696309399512
42,-650.2777330065554
43,-516.3094317400422
44,-900.2385251391964
45,-3697.2806999153863
46,-523.6118364277208
47,-1138.7965836110973
48,-568.4075735179758
49,-1013.8571884513647
50,-3701.576966546085
51,-573.538030959565
52,-451.8842503471184
53,-1494.9040484988986
54,-764.4897465791413
55,-923.4759653121273
56,-524.5645421740428
57,-1169.4865280178822
58,-444.19386978476297
59,-1227.3601229326605
60,-622.8150944863492
61,-1269.609074084094
62,-876.6523087042336
63,-491.4389360597433
64,-561.39683170235
65,-714.6239592429599
66,-1240.2649422755544
67,-600.1221630423966
68,-803.0263524178544
69,-447.6395718772985
70,-532.9793193877567
71,-566.5189979701793
72,-683.4154568123085
73,-439.6494289020555
74,-797.3637831019744
75,-1066.4723191658873
76,-465.9207700671712
77,-1861.9545142781915
78,-740.2957757887914
79,-1119.0151913999443
80,-607.6274813923553
81,-748.9120182606266
82,-516.7315198291997
83,-1712.6911075268508
84,-742.2612342959433
85,-928.5170612325055
86,-773.5334673772708
87,-470.60108374319015
88,-436.2164982533631
89,-488.24530778009654
90,-446.19429386806814
91,-747.6078087279009
92,-601.042069208997
93,-509.94828910114364
94,-463.6159143117696
95,-432.80080208749814
96,-461.46624980236453
97,-532.5143408737547
98,-559.8382591037578
99,-621.7974290804028
100,-1039.0685491324161
101,-848.2228627960629
102,-653.8344077057953
103,-631.5178320174588
104,-1021.3955510896733
105,-1138.902486672331
106,-469.82016248018516
107,-867.2533285669666
108,-569.6322990953718
109,-549.3848532797565
110,-1915.5530154167573
111,-460.9918911894855
112,-623.6293033364593
113,-506.7374796810005
114,-464.7086066518172
115,-1806.6932516748104
116,-530.8903517793069
117,-712.326545662461
118,-535.94705273985
119,-559.4120615775562
120,-2742.7386243573287
121,-566.0230746800996
122,-514.8603103511955
123,-488.60842169528485
124,-759.5195177720211
125,-505.61656634328915
126,-1158.8338647273263
127,-735.9660084408603
128,-424.34783128730794
129,-462.82577871269973
130,-467.8796965551628
131,-557.5588216276526
132,-554.9187734718719
133,-579.732632249454
134,-1827.8955956413454
135,-1993.7964418491385
136,-492.9044197311276
137,-652.7131873762937
138,-793.0721057753475
139,-533.7335294719529
140,-1642.1519564238747
141,-885.0270578175976
142,-666.818669649574
143,-466.78715641651274
144,-1287.881394761105
145,-1178.024441471799
146,-974.1343881828536
147,-778.387083317539
148,-489.67451877554447
149,-589.5149142084019
