episodes,rewards
0,-96.85385976530928
1,-300.09473514004753
2,-657.8137297961563
3,-811.2264223980824
4,-517.4910030889646
5,-645.5095528624284
6,-510.4576098412553
7,-754.7571597269736
8,-561.522234557221
9,-526.0932054305711
10,-865.6118889815677
11,-516.0315091199312
12,-495.11755627833935
13,-532.234052677356
14,-740.2157387292826
15,-499.1745480580542
16,-704.4044459981097
17,-533.1456833689618
18,-930.807762213951
19,-885.2341173620745
20,-485.9857387527789
21,-1003.4428921628119
22,-330.1722954572221
23,-445.684433710471
24,-413.02972135753555
25,-347.80683551642085
26,-455.94142572374733
27,-764.8249201939933
28,-575.0690087686456
29,-556.4204620828491
30,-372.96659822248273
31,-503.1253859023173
32,-471.0459608351789
33,-754.0857507384237
34,-506.0766635599374
35,-844.3328371438338
36,-827.0108396901729
37,-377.5810432665554
38,-528.1935745593221
39,-633.784825007766
40,-520.8433280414732
41,-337.745639094343
42,-826.262988109958
43,-953.2216025759645
44,-1000.0813619484234
45,-578.1975121202345
46,-681.1398357177535
47,-540.8233294677898
48,-421.2219574673966
49,-504.6983830620763
50,-754.5283870765203
51,-445.01584397632837
52,-545.6236006561699
53,-651.7984909114572
54,-512.0260681822591
55,-525.7489273894948
56,-452.2159644240766
57,-464.72369560756397
58,-659.2537114245607
59,-488.09772527117497
60,-539.2399161597248
61,-476.61700548879264
62,-530.43578786958
63,-281.438023168035
64,-393.0232117146317
65,-556.417156841053
66,-531.5140590438873
67,-357.73735563012025
68,-768.4579319044859
69,-679.7862083841643
70,-441.87524486904124
71,-512.5778400596325
72,-444.2646959894172
73,-753.2386617696828
74,-785.9444993552444
75,-506.5082326560604
76,-608.6855702032251
77,-648.7285939037828
78,-440.3908973842115
79,-597.4751777968048
80,-472.81066889445214
81,-933.964031120738
82,-506.22208982854596
83,-644.8228952115954
84,-609.2337512876526
85,-482.04072536286395
86,-395.88479550609543
87,-452.84129574958547
88,-612.9576226247381
89,-620.0193760189289
90,-737.476493554685
91,-403.3138909890501
92,-784.3553114927075
93,-826.9980853914215
94,-562.7334866897221
95,-463.71481147619073
96,-580.6068752525798
97,-620.1598695712875
98,-647.552557124376
99,-432.80864904158165
100,-606.457974675423
101,-621.5036784232869
102,-395.30504037738234
103,-734.8378802110497
104,-580.7618750734325
105,-556.0617863870982
106,-316.2074512708135
107,-338.3988291115877
108,-429.22574926697285
109,-792.4187363522012
110,-567.1255707029866
111,-454.3276202032829
112,-655.8114463679499
113,-482.0759162767639
114,-487.85453337370524
115,-373.2543903772922
116,-449.1188069716056
117,-1147.6556664859384
118,-424.3289548853403
119,-720.5867830553935
120,-478.2055910523271
121,-410.190283655389
122,-728.9602935369602
123,-397.99734940989475
124,-748.925833674034
125,-508.3959097162423
126,-433.86232049294387
127,-624.4674857972732
128,-466.3297907668522
129,-502.65409274732986
130,-465.5048354708826
131,-719.2008318892925
132,-348.7460587032285
133,-502.1905013637869
134,-649.6102111506176
135,-484.92272151584996
136,-735.5328915433886
137,-632.1333687538616
138,-481.4689087359917
139,-494.85313745535205
140,-353.02567027606824
141,-721.7945984784252
142,-318.4423451110305
143,-525.693786171863
144,-721.0347932583892
145,-530.2515206575836
146,-525.3772093142785
147,-460.3033805455759
148,-430.30169940245275
149,-442.3285112752604
150,-778.0312940702513
151,-359.6626213978592
152,-1078.2500639790655
153,-1070.741581825186
154,-530.2403767284503
155,-999.7982545891613
156,-501.911480607137
157,-607.1244139313358
158,-735.3524145996114
159,-743.0194023912375
160,-444.08428870839043
161,-455.9601963432681
162,-373.719429160124
163,-502.0934418311091
164,-639.1946369881001
165,-492.47287901256493
166,-428.72709124988216
167,-791.3213899197684
168,-382.558012538889
169,-856.666512389278
170,-804.9059038311611
171,-741.1270167035261
172,-411.86387326186633
173,-463.16326859321276
174,-811.8611971275761
175,-414.8355011770852
176,-430.8108800171568
177,-757.1380198879896
178,-461.6261883763569
179,-666.6594658220969
180,-568.413689098435
181,-528.1782285494744
182,-761.7484910934562
183,-344.4067532017988
184,-517.0240991198262
185,-478.70023933504723
186,-768.2388836234535
187,-555.1276658712383
188,-630.0254027537902
189,-482.84865785092137
190,-425.4706486282358
191,-456.9295030207408
192,-591.6000239697344
193,-837.183023952637
194,-524.5067258464433
195,-701.0393000139433
196,-859.7536398068829
197,-764.2812287511655
198,-390.88817114718785
199,-403.8192060550846
200,-474.70342743170454
201,-727.2370851314868
202,-518.3650956218864
203,-492.37856889323774
204,-641.4682536983706
205,-518.288754294987
206,-1099.421569602746
207,-588.2097159657127
208,-537.582888633422
209,-996.2565555232895
210,-734.7777050936318
211,-349.0785195756438
212,-347.52306213709545
213,-505.09298113587175
214,-681.0838897805121
215,-442.15205343823914
216,-706.6440291612781
217,-853.6057120446724
218,-629.9181693816246
219,-481.38057035833776
220,-475.700900976119
221,-459.4361094192957
222,-506.16626799350894
223,-443.8516132060701
224,-541.8797606371301
225,-707.4144554875959
226,-887.83448363392
227,-558.2969653367111
228,-530.5455033060857
229,-428.2649932699517
230,-471.7797450586539
231,-364.53455363779943
232,-316.34944148762725
233,-853.2486321543552
234,-750.5314667194226
235,-631.1958286265785
236,-431.3656553184953
237,-338.8373494651768
238,-431.66929871573524
239,-441.9733628504275
240,-482.96779517360477
241,-626.3871363500671
242,-789.4981322522797
243,-1041.8312970630436
244,-461.72378950158645
245,-455.09989766120873
246,-776.7558531519832
247,-866.5832318858337
248,-566.2033272056394
249,-706.9384509321475
250,-407.80191250952043
251,-578.5831470260795
252,-471.2708968343576
253,-819.4969574329448
254,-547.8381764716156
255,-475.7043434982268
256,-510.49526301723495
257,-522.3661197089884
258,-468.4912852825074
259,-371.531946259269
260,-466.8542026254916
261,-423.094809236129
262,-851.4137715460122
263,-397.8290816781168
264,-505.15725622032005
265,-394.55946566414065
266,-489.3393356977418
267,-888.5714664460355
268,-365.80359640298076
269,-422.4296778531714
270,-866.415924325002
271,-610.310511023172
272,-514.3667943030555
273,-348.61655328172776
274,-892.9201521581527
275,-561.0743952217898
276,-521.0726874123361
277,-390.75759303020135
278,-580.0614253181889
279,-516.189504604481
280,-742.2071688828644
281,-523.8416379431964
282,-444.0656160580765
283,-335.7854625955647
284,-551.2417683836698
285,-441.93571979350315
286,-612.5051002817315
287,-498.0684514224569
288,-758.1096744268347
289,-917.1530872294021
290,-501.98349750388735
291,-320.301760422706
292,-544.0817032263183
293,-314.48689753691616
294,-521.0393261747251
295,-580.030830714279
296,-730.1260318549517
297,-516.9125199439907
298,-961.7552913235012
299,-384.4950702075877
