episodes,rewards
0,-211.75101301250157
1,-131.22564894662378
2,-125.68008387472022
3,-221.07827372167094
4,-197.60855380533354
5,-220.05635376882248
6,-91.32947806836621
7,-98.28168435639111
8,-114.06003641684066
9,-23.25328610094998
10,-250.5846400649687
11,-207.42923639396528
12,-217.28617213483898
13,-121.7447699738002
14,-263.22834005843083
15,-147.81912433139715
16,-219.81487342650348
17,-248.78361037831772
18,-259.4399921562166
19,-410.9800688544261
20,-92.85141866657717
21,-115.12422294086096
22,-95.38313856866398
23,-194.40785726823242
24,-69.34940978950917
25,-296.59104337082465
26,-327.72330994795317
27,-203.24649124165728
28,-28.014428793836416
29,-127.13421935190641
30,-215.18688401510542
31,36.67665823889652
32,-90.20601259264627
33,-128.26406198067818
34,-35.758639281357645
35,-123.66086830719495
36,-151.4699315137556
37,-324.5263850353877
38,-357.6051856953946
39,-94.32711046769435
40,-134.76483912920395
41,-284.2725020070943
42,-155.30035531129033
43,-188.6097657842592
44,-84.97447302045512
45,-524.6615421630758
46,-125.41900837754882
47,-323.2757191734587
48,-211.91346059120184
49,-76.38273872664314
50,-49.87418509324351
51,-296.002363976022
52,-361.44789388619296
53,-438.5551915756193
54,-94.26418349892994
55,-284.9337584281755
56,-185.0629170788573
57,-142.29141996865437
58,-175.09267237100136
59,-160.6037260517589
60,-171.80392012901217
61,-86.58088269246544
62,-301.44845632981264
63,-126.02540957892484
64,-130.29544690613596
65,-114.06955280728877
66,-131.23548908608598
67,-131.71689284355978
68,-134.75794628854587
69,-259.26859347132097
70,-297.84851578940334
71,-88.64400302879407
72,-94.3583844773407
73,-108.47743574054824
74,-76.79083707077076
75,-237.846289447064
76,-371.03972105165025
77,-153.04398522650263
78,-171.23131221467162
79,-112.87852888075768
80,-95.86007983644943
81,-6.792050576934955
82,-103.73170007562811
83,-103.30619529252385
84,-37.82375577097379
85,-170.05896213389235
86,-88.38993954414904
87,-140.22995296655205
88,-285.6662809071052
89,-86.04370054065531
90,-100.57955871375773
91,-91.33230509653606
92,-209.5717747082629
93,-138.58044183378428
94,-53.51479589421031
95,-138.9573314728534
96,-119.27367818959905
97,-158.2445097644623
98,-111.78928064455044
99,-110.89902194418785
100,-132.11738827440396
101,-108.94043081263857
102,-157.21391205248213
103,-328.0110182412918
104,-135.32316900554267
105,-101.10106995032767
