episodes,rewards
0,26
1,10
2,12
3,16
4,15
5,18
6,42
7,12
8,19
9,11
10,56
11,19
12,13
13,15
14,16
15,9
16,9
17,54
18,13
19,15
20,12
21,11
22,14
23,10
24,10
25,8
26,17
27,14
28,15
29,10
30,17
31,10
32,11
33,31
34,13
35,29
36,10
37,13
38,9
39,22
40,21
41,10
42,9
43,35
44,23
45,10
46,11
47,10
48,19
49,45
50,12
51,19
52,32
53,8
54,15
55,17
56,14
57,13
58,14
59,16
60,20
61,40
62,34
63,38
64,44
65,16
66,42
67,17
68,104
69,39
70,16
71,17
72,45
73,21
74,22
75,39
76,47
77,10
78,13
79,47
80,19
81,29
82,22
83,22
84,10
85,35
86,18
87,25
88,13
89,15
90,39
91,36
92,23
93,42
94,10
95,17
96,44
97,32
98,41
99,63
100,53
101,29
102,126
103,46
104,29
105,51
106,56
107,25
108,25
109,41
110,53
111,62
112,47
113,39
114,139
115,77
116,73
117,20
118,41
119,24
120,51
121,52
122,16
123,29
124,102
125,12
126,35
127,29
128,35
129,32
130,51
131,95
132,44
133,75
134,52
135,46
136,37
137,78
138,53
139,184
140,40
141,43
142,69
143,42
144,62
145,44
146,41
147,59
148,104
149,87
150,40
151,17
152,33
153,165
154,65
155,121
156,88
157,68
158,70
159,48
160,110
161,25
162,56
163,37
164,156
165,43
166,46
167,61
168,114
169,134
170,116
171,125
172,121
173,104
174,89
175,129
176,169
177,194
178,196
179,136
180,188
181,111
182,59
183,26
184,173
185,177
186,81
187,135
188,138
189,100
190,91
191,100
192,119
193,75
194,239
195,73
196,73
197,152
198,132
199,91
200,208
201,42
202,27
203,85
204,138
205,30
206,92
207,232
208,142
209,103
210,179
211,278
212,107
213,107
214,160
215,186
216,201
217,167
218,404
219,87
220,118
221,196
222,199
223,75
224,198
225,177
226,159
227,241
228,258
229,187
230,321
231,148
232,131
233,133
234,176
235,58
236,66
237,101
238,202
239,191
240,159
241,96
242,95
243,298
244,227
245,303
246,147
247,364
248,157
249,169
250,323
251,226
252,158
253,144
254,304
255,299
256,152
257,169
258,180
259,163
260,186
261,220
262,218
263,347
264,151
265,146
266,160
267,132
268,206
269,158
270,116
271,137
272,167
273,162
274,150
275,254
276,78
277,199
278,139
279,229
280,135
281,128
282,137
283,152
284,136
285,224
286,203
287,116
288,201
289,212
290,202
291,353
292,134
293,221
294,129
295,142
296,134
297,180
298,117
299,109
