episodes,rewards
0,-95.28995640679346
1,-718.740614746242
2,-176.01600771907437
3,-53.03392434925189
4,-81.69399823879026
5,-197.78229919009448
6,-123.47569338255721
7,-166.15886511192372
8,-374.6719799755008
9,-112.47308984105206
10,-149.59148601324648
11,-384.46727603887695
12,-273.4682582254278
13,-493.24466699992666
14,-337.26172610423043
15,-368.62389803553646
16,-442.9305518828475
17,-559.3600305971624
18,-332.917631005315
19,-385.6557560733154
20,-366.4790651802358
21,-507.3368806159749
22,-295.0424431218557
23,-149.74338076825236
24,-136.71988414037995
25,-172.4466648554141
26,-198.2279761560213
27,-162.9772868488725
28,-335.04465587272057
29,-339.53712151447155
30,-263.6730797231148
31,-128.03173667357817
32,-229.61886101860236
33,-164.40084629897936
34,-135.2913414397638
35,-159.83778066841114
36,-129.73320821602607
37,-139.17340951737867
38,-146.2460154065183
39,-185.41493279299294
40,-135.61080886815145
41,-142.70056545065677
42,-184.84785318924685
43,-181.3257249791285
44,-124.07696837438563
45,-137.12045961355295
46,-161.28773456680037
47,-155.9054733280051
48,-97.59102308548461
49,-123.34218125905792
50,-154.1173890127397
51,-144.79793263533003
52,-118.4075601283985
53,-100.66373525525643
54,-8.102079395680235
55,-193.3233150071727
56,-261.3249747402085
57,-6.732241691416519
58,-157.30337645238433
59,-211.2927204305015
60,-160.79854160115764
61,-148.81239615064231
62,-115.91520314660765
63,-126.95521943125921
64,-120.89497281886175
65,-113.4641896865206
66,-90.89998615737503
67,-150.0418217451033
68,-145.99329855331007
69,-9.638333493132649
70,-141.67413344645502
71,-245.66648367090474
72,-108.09451742983515
73,-151.14478140736935
74,-113.70939691760407
75,-157.0564736195681
76,-158.60440972848812
77,-113.44654746256899
78,-126.83673602213585
79,-124.33732677927296
80,-124.73992175693573
81,-113.58364606737298
82,-113.84325638674855
83,-110.74900361730231
84,-117.03178104770447
85,-129.07563599440556
86,-126.77862859745618
87,-124.1647376160312
88,-88.17514635429364
89,-121.36507332435775
90,-123.96308859898713
91,-123.4364707372757
92,-126.14135519734586
93,-100.61898229071218
94,-116.50276510871292
95,-103.34819747470975
96,-135.35799196678596
97,-131.29658819955046
98,-116.80308351370846
99,-124.33575184495366
100,-122.05980950474648
101,-117.14070148590513
102,-129.8716203871573
103,-142.24251309045212
104,-133.59833924309982
105,-116.26119403594281
106,-108.60902917568659
107,-163.96291093263426
108,-146.32954545604912
109,-121.73297203473389
110,-157.51253899510039
111,-158.49905779900035
112,-191.55042677469922
113,-73.35514536186744
114,-145.05059303533892
115,-158.08700192515346
116,-57.548049978006006
117,-5.552518705868778
118,-172.30208726083612
119,-143.05276315977002
120,-213.9465965916085
121,-180.79053929343553
122,-167.91674078008523
123,-189.76026967111864
124,-190.0667915748191
125,-160.29666557300106
126,-172.10697271577408
127,-60.52269063008315
128,-180.8896960148988
129,-122.12131394181937
130,-64.29590817349474
131,-99.9049852237039
132,-174.9683311229698
133,-145.61807822235124
134,-111.10691679663542
135,-159.757484994791
136,-165.01229375846697
137,-151.59395409559644
138,-145.8290125960375
139,-129.97964960687958
140,-144.8452357158581
141,-136.02102664651653
142,-108.05941888044188
143,-103.36426371370737
144,-126.36117049351996
145,-107.63419332075014
146,-129.33063526144372
147,-116.91267890983589
148,-104.84274578742414
149,-146.08458823205225
150,-120.41503943925301
151,-107.20796167238967
152,-128.4795378425612
153,-139.60427833017772
154,-151.70850194307764
155,-113.06367798998033
156,-129.14646066180146
157,-123.04826260132249
158,-121.15390737304966
159,-152.8331628457858
160,-130.11421865656013
161,-123.86234080000881
162,-112.90139011698375
163,-141.21833893734674
164,-148.22626334614426
165,-134.5715214054955
166,-121.49436970397363
167,-177.34838877391832
168,-137.58253676555552
169,-131.339832127362
170,-147.8729653601154
171,-120.44986789634956
172,-133.717797059514
173,-150.90148398127934
174,-143.28516212154557
175,-122.19760217663658
176,-134.15833819238827
177,-148.4338881628422
178,-119.99032864273842
179,-140.20367311470278
180,-137.04252831863076
181,-145.5580533624112
182,-138.70953843299938
183,-131.49567573652476
184,-143.09977692675554
185,-135.6451187811332
186,-129.24813685318617
187,-149.89398661381676
188,-149.68183912128666
189,-91.77904686979169
190,-105.22637318462401
191,-147.4743345931509
192,-155.84233683190638
193,-150.82967983152616
