episodes,rewards
0,-133.93313689125796
1,-462.51574109645253
2,-562.7966188054754
3,-945.3190280671972
4,-823.9664320097876
5,-721.4582457520492
6,-804.0431877521177
7,-587.6346814803592
8,-448.15467183697564
9,-1140.6645230509348
10,-714.5611155538683
11,-399.92609249994314
12,-2393.418186601614
13,-612.4358762712922
14,-867.8693761794583
15,-829.0418436598367
16,-684.0146475512521
17,-665.3334282657858
18,-1045.3893442167584
19,-515.2476934733677
20,-1318.175578247586
21,-668.2097782334065
22,-2330.905363173332
23,-687.2310542640859
24,-4479.450237417311
25,-650.3231802867232
26,-563.304240420023
27,-558.3764608923393
28,-700.3301457501317
29,-704.8068812986401
30,-666.0887602842064
31,-1305.2094166117708
32,-763.5557453501415
33,-677.0856820252086
34,-1113.1476364879798
35,-491.6815813001194
36,-1594.1623869813973
37,-394.7498099874708
38,-526.6351821064789
39,-2213.6039234334244
40,-682.1904040259956
41,-979.4237967757731
42,-530.5630409654863
43,-766.2519814663607
44,-708.2666282727807
45,-1069.9176461759207
46,-1400.7584908103572
47,-1703.577422247512
48,-1218.045792360508
49,-861.0887940644712
50,-678.4182740683531
51,-1552.9409529839238
52,-1024.709548417108
53,-673.2033964994
54,-664.5857505850071
55,-796.7391649636527
56,-445.1392275388576
57,-1178.7146094230484
58,-596.083581538792
59,-799.5982778231646
60,-757.2792966487926
61,-1328.3273389008657
62,-606.8904337714986
63,-680.7158884637416
64,-865.9535468892632
65,-567.2514075850165
66,-417.9840104858532
67,-1273.159210716285
68,-420.1736807523445
69,-675.8741983991504
70,-660.6356759021818
71,-627.0706751819966
72,-892.6155534842921
73,-2374.2028159967695
74,-580.1847258811115
75,-1127.605084116003
76,-434.9324709852833
77,-497.687291985981
78,-602.4884347792184
79,-557.8667040106457
80,-862.2948803220588
81,-4379.7793400118
82,-1137.591180138903
83,-700.6371328527473
84,-1177.589132855894
85,-1495.528457604216
86,-704.5243445361994
87,-458.0381482019939
88,-427.9892284736752
89,-1607.0166501889425
90,-923.3442497080855
91,-826.7410802723408
92,-617.0240884568636
93,-505.17719076918183
94,-843.7387559743704
95,-588.8698188877744
96,-650.0968538939359
97,-526.5109686000321
98,-1061.926672385137
99,-714.6728347751174
100,-621.3678111403451
101,-757.9286512623406
102,-751.9823453637886
103,-630.3733316510416
104,-626.2278421502483
105,-914.6098110612262
106,-696.7785621376592
