episodes,rewards
0,70
1,97
2,64
3,104
4,76
5,99
6,68
7,105
8,118
9,122
10,83
11,109
12,124
13,78
14,107
15,113
16,79
17,62
18,64
19,66
20,103
21,1336
22,94
23,107
24,105
25,60
26,123
27,67
28,80
29,79
30,76
31,121
32,88
33,97
34,73
35,78
36,101
37,71
38,101
39,90
40,92
41,86
42,124
43,67
44,93
45,135
46,123
47,107
48,97
49,75
50,85
51,93
52,117
53,70
54,114
55,92
56,71
57,93
58,62
59,65
60,72
61,90
62,109
63,72
64,111
65,91
66,81
67,95
68,96
69,93
70,104
71,88
72,148
73,79
74,61
75,78
76,92
77,59
78,88
79,88
80,151
81,74
82,79
83,76
84,65
85,118
86,77
87,98
88,132
89,64
90,67
91,79
92,81
93,93
94,87
95,86
96,81
97,69
98,117
99,90
100,123
101,75
102,64
103,116
104,72
105,103
106,86
107,75
108,79
109,84
110,106
111,77
112,100
113,157
114,125
115,129
116,158
117,120
118,87
119,85
120,78
121,110
122,91
123,114
124,102
125,98
126,94
127,96
128,79
129,95
130,70
131,76
132,97
133,67
134,139
135,67
136,68
137,66
138,94
139,85
140,88
141,70
142,67
143,92
144,89
145,144
146,126
147,71
148,90
149,78
150,117
151,59
152,92
153,114
154,58
155,72
156,105
157,96
158,74
159,87
160,92
161,76
162,118
163,98
164,92
165,124
166,130
167,125
168,117
169,98
170,136
171,87
172,101
173,65
174,132
175,97
176,85
177,89
178,73
179,60
180,104
181,80
182,66
183,87
184,122
185,62
186,125
187,98
188,117
189,92
190,127
191,100
192,120
193,89
194,103
195,101
196,81
197,65
198,86
199,121
200,114
201,104
202,74
203,77
204,141
205,64
206,87
207,115
208,101
209,131
210,107
211,82
212,121
213,113
214,105
215,95
216,134
217,105
218,62
219,94
220,106
221,62
222,76
223,77
224,85
225,75
226,99
227,91
228,166
229,96
230,100
231,92
232,91
233,113
234,142
235,73
236,133
237,95
238,92
239,110
240,160
241,86
242,73
243,68
244,111
245,90
246,113
247,91
248,99
249,67
250,140
251,74
252,76
253,81
254,81
255,78
256,112
257,118
258,83
259,119
260,90
261,106
262,77
263,92
264,66
265,137
266,120
267,72
268,146
269,71
270,66
271,82
272,78
273,105
274,81
275,117
276,55
277,109
278,96
279,82
280,103
281,93
282,100
283,100
284,135
285,125
286,93
287,81
288,87
289,73
290,185
291,91
292,87
293,100
294,102
295,108
296,104
297,100
298,122
299,110
