episodes,rewards
0,-263.1382946079776
1,-249.7173477514392
2,-27.627149056456346
3,-77.13957634451445
4,-435.17967872310106
5,-190.08904489082028
6,-14.068769958455476
7,-142.75655638304028
8,-287.53419006999155
9,-130.8835160409829
10,-107.26458066196832
11,-158.16266365989796
12,-287.3831245943388
13,-124.85344543210134
14,-221.83140368454406
15,-241.4531986668497
16,-89.5481659808066
17,-56.578766925530346
18,-51.63069759058202
19,-248.48554454847206
20,-238.2993284184157
21,-396.0986301768127
22,-343.4180726238509
23,-386.12558562056034
24,-267.20392584591093
25,-296.5006118071851
26,-117.39500840485424
27,-247.99171432021103
28,-134.78063800223762
29,-84.2289273772071
30,-321.6233490451111
31,-269.3220258775615
32,-373.62558257781325
33,-353.9314562968498
34,-391.68928004823954
35,-289.3378947800031
36,-198.56114822687397
37,-247.20316231760086
38,-279.50647480622223
39,-108.1211390193949
40,-87.89770294931091
41,-126.54688878233617
42,-55.734448190947376
43,-109.89998996019533
44,-110.19986963107024
45,-125.7627015806084
46,-54.86151695915909
47,-92.96897270934767
48,-426.223641350547
49,-316.78940738209445
50,-200.76826883862344
51,-96.4126382600875
52,-268.3283287496676
53,-152.86468499913707
54,-128.681604233597
55,-179.88956814384198
56,-162.9943416898618
57,-73.34070806898129
58,-240.87863018859207
59,-81.66672853169356
60,18.525062606183567
61,-405.1529467959723
62,-153.27974794085398
63,-281.41754174419077
64,-93.42873244783206
65,-109.48294223424575
66,-366.31842259084476
67,-125.30412922537074
68,-54.88868665726596
69,-164.0463276285517
70,-112.65241355973065
71,-243.75820241464908
72,-100.68870340136614
73,-109.1559910405867
74,-58.0624792469556
75,-132.8770318611294
76,-166.55829170902635
77,-95.57937481690662
78,-184.73173791415462
79,-79.84386635234645
80,-139.70590163467648
81,-85.7853083343108
82,-244.32095922946428
83,-116.69170760848549
84,-86.83747048129737
85,-114.97529934361418
86,-103.10799784420136
87,-139.21386338940863
88,-362.4259619390414
89,-108.92311950721796
90,-126.50009873964063
91,-262.3453241767686
92,-287.40426657600295
93,-293.6847745586805
94,-112.98970584370082
95,-307.11285649934973
96,-125.1643113624225
97,-47.555607065201926
98,-93.8793348767925
99,-150.43192413032358
100,34.784046790077696
101,-137.17763433573683
102,-123.60474056602749
103,-338.6695320293829
104,-280.0548719224919
105,-55.135116978654025
106,-111.12608208641878
107,-184.45109979401428
108,-145.24755966630178
109,-159.1988715153547
110,-230.39188143435527
111,-90.60844942680703
112,-266.6067723592805
113,-45.129785252227336
114,-55.589041533385
115,-395.79537709862467
116,-290.87020643030405
117,-110.6213553326937
118,-223.45354524738696
119,-115.68840471670505
120,-79.80424405817723
121,-154.51195923322493
122,-262.1080201179343
123,-109.64440776666756
124,-160.13673059361588
125,-68.04025530803045
126,-265.39431213908625
127,-82.66780621157257
128,-135.89872809718034
129,-59.309656197589504
130,-353.987532273438
131,-187.75745248544723
132,-128.5868309955676
133,-106.46482383636423
134,-68.10151312902718
135,-147.87028409169795
136,-89.54339671977247
137,-193.661892126838
138,-143.69309562969192
139,-225.0674741428734
140,-392.025239939736
141,-228.90017754556533
142,-205.7932882937822
143,-42.79098692049526
144,-236.19541715573092
145,-223.26335480925553
146,35.32094430998552
147,-34.544451602825546
148,-255.20008829103588
149,-152.0937291609644
150,-141.36991359851066
151,-357.0424617712261
152,-360.5832243915962
153,-105.55765903702728
154,-208.3052842450398
155,-106.83199430524199
156,-442.017648493926
157,-401.4250801376444
158,-254.88794463358533
159,-345.5968071060362
160,-179.18914566194692
161,-303.9751516846677
162,-366.4844355772102
163,-358.6390424860467
164,-295.959397017445
165,-280.89172583098446
166,-163.20422593570214
167,-217.98902589524522
168,-358.4712015455322
169,-127.34691554517137
170,-287.89389054320964
171,-258.98608892124946
172,-311.767914004576
173,-314.7807841993158
174,-49.3471589563793
175,-220.03698599718695
176,-371.144795328607
177,-205.9765900440936
178,-214.68053262879863
179,-336.77953143495324
180,-267.4211492110252
181,-292.27163613112856
182,-345.20965432124893
183,-37.85393622592073
184,-256.0029362096386
185,-161.81310383247825
186,-62.33309482394987
187,-143.05905960132037
188,-27.924327243715524
189,-435.4029881468668
190,-205.15417867808162
191,-240.04204040463475
192,-220.00791136491284
193,-239.8737697807523
194,-20.922864170159002
195,-123.41218402435295
196,-251.50218015228327
197,-212.57357467320963
198,-209.64631479073248
199,-76.41823252837342
200,-38.85721948245006
201,-210.89161475927006
202,-268.3355639927149
203,-274.7831300603244
204,-270.63081564167715
205,-310.0160584503484
206,-249.71229892110685
207,-300.66348244813224
208,-201.34126917994445
209,-98.04115364345766
210,-453.4606010899579
211,-265.4152760014402
212,-132.2823211196284
213,-46.14655009800171
214,-117.55521832978033
215,-77.27104733428065
216,-250.6789476198629
217,-143.9160413329475
218,-54.52705113793012
219,-138.58235312697332
220,-25.588486027118705
221,-252.6772810528913
222,-104.16466860520316
223,-104.12538601611124
224,-212.3153699438006
225,-196.40361646710954
226,-296.29020066071104
227,-354.69081323658844
228,-26.66349314744106
229,-261.03704376971575
230,-305.80269176844615
231,-275.3139531285784
232,-131.05719472066897
233,-233.03576290716683
234,-98.4536959641865
235,-278.15363987310224
236,-104.04268634265893
237,-214.55499667263027
238,-269.20536857830643
239,-221.45545698575796
240,-273.56991226865034
241,-509.0503456172386
242,24.15694163596261
243,-47.74109202642511
244,10.014143719999197
245,-50.648254221668054
246,-197.53419224272926
247,-67.58985220253203
248,16.812571543486982
249,-114.92691061655114
250,-71.49010864990555
251,-85.44796973345181
252,4.2732648672527915
253,-92.80702775623101
254,-41.451135540245986
255,-37.77188320379486
256,-52.52773569982773
257,-146.87616806268625
258,10.858869132145983
259,-45.20874383687331
260,-293.10992308335597
261,-271.8101834617607
262,-38.113937976463035
263,-336.9525775395681
264,-61.80990392576769
265,10.370041518258404
266,-199.63923916324495
267,-58.29337195566928
268,-225.36142934268506
269,-56.90125906374708
270,-115.92495333645563
271,-162.9133852993773
272,-112.58937827107795
273,-256.9384760286718
274,-200.80482933424202
275,-264.13837015331154
276,-611.0522528018603
277,-506.98139543912
278,-182.83250175656494
279,-169.91829682584438
280,24.86935032385179
281,26.291103657844005
282,-56.0300333074311
283,-378.2265223600858
284,-12.499188370386477
285,-92.74831629769281
286,-115.49954344534372
