episodes,rewards
0,-113.7139389007914
1,-423.2172558665235
2,-459.7281403814365
3,-392.25327819274224
4,-338.12047859164295
5,-472.8286140109714
6,-511.94930845965087
7,-495.8315557106409
8,-611.2481503762108
9,-610.874195417947
10,-866.7075506375603
11,-449.01407971747733
12,-451.0332662283464
13,-520.628862396456
14,-832.9595400584619
15,-1070.3297392049712
16,-482.88057733248627
17,-628.5335585946132
18,-369.4726120004883
19,-522.2643018607425
20,-697.5234973995599
21,-499.2155558936175
22,-486.6385022769475
23,-337.9693497068255
24,-503.922376729881
25,-473.5874993734697
26,-504.71248646509133
27,-468.7031489825825
28,-726.6586983327915
29,-358.33951184543366
30,-409.8092046968705
31,-473.92219371520713
32,-515.2220818758136
33,-774.8894040350165
34,-780.602921564605
35,-781.4799857364028
36,-732.3801378916082
37,-808.4081275207766
38,-336.39702374973047
39,-925.2490460845803
40,-586.76336578467
41,-675.533796657892
42,-804.5283967368565
43,-497.4932780468022
44,-1264.511884826437
45,-451.5072112769902
46,-502.5558616458289
47,-591.5022123088758
48,-526.1859402415821
49,-765.4927134083392
50,-534.3431694229762
51,-488.761403085613
52,-973.3811993250001
53,-804.2454317586981
54,-544.9237100769699
55,-806.7425332161964
56,-560.645414678613
57,-624.8874517303047
58,-600.2842806630873
59,-510.88402917861305
60,-780.4533181192489
61,-839.5942999242743
62,-653.5802541340825
63,-521.3755747755649
64,-455.1651612716321
65,-699.1175233430301
66,-504.91413349808863
67,-424.80814769909927
68,-794.8440431161927
69,-491.41329421704137
70,-752.4130412962975
71,-491.0333242407295
72,-368.8660113630541
73,-366.6299598079354
74,-438.79634783756615
75,-724.934659072643
76,-325.79213212525127
77,-535.4384820728576
78,-363.40938035838064
79,-448.3747012086917
80,-449.2149537112613
81,-858.1973602146012
82,-534.3104291126677
83,-389.35234774553516
84,-576.1291891200952
85,-867.9317060110502
86,-450.90014167843367
87,-899.2674415410063
88,-510.0816385702167
89,-436.9166786717911
90,-817.0231251331422
91,-476.2229546716992
92,-948.796622478731
93,-522.3590744592559
94,-436.74599419129885
95,-410.3715682338001
96,-425.52405876200316
97,-779.9272524873141
98,-527.1272267426215
99,-572.2471671826424
100,-348.18384045310904
101,-502.01310495218934
102,-474.1243087599007
103,-511.12326804845867
104,-572.2937047072007
105,-503.0769243806252
106,-826.1014891333647
107,-798.4666133717119
108,-651.5183612493896
109,-538.0034607545185
110,-572.5774568020415
111,-727.712325678435
112,-427.6288055859071
113,-736.1290772716886
114,-469.9682826199555
115,-330.18399475987485
116,-729.2261452510555
117,-564.057603659706
118,-769.2263838667241
119,-1009.112008188249
120,-470.8740755400557
121,-383.12986864404667
122,-700.566467450505
123,-475.365280689615
124,-660.0221126789977
125,-508.7043517897682
126,-621.2017514044932
127,-855.2429734556958
128,-823.5708947787608
129,-592.4544245429372
130,-1015.4902577950024
131,-435.20697377808
132,-562.5622220951689
133,-593.7664273295151
134,-365.81395164055914
135,-682.8242439042857
136,-363.0482339479808
137,-739.6032782906722
138,-395.10929119949253
139,-528.6785814333493
140,-445.04416483901684
141,-759.0256554613782
142,-365.74442776309144
143,-763.7031459880426
144,-491.25704690571973
145,-391.9002771898839
146,-349.02573093460785
147,-344.82917164567186
148,-543.0003255570412
149,-352.1669853015587
150,-1004.6980159203559
151,-649.6566253212067
152,-572.8018119933869
153,-510.09417308597233
154,-365.4807164939605
155,-447.15209760193324
156,-787.1575477471077
157,-490.60977256984535
158,-378.95959522960084
159,-730.6347793426987
160,-383.44597407452994
161,-429.58919129467006
162,-550.0737738019482
163,-502.88973607792445
164,-421.6355735850838
165,-462.0650086657183
166,-941.615176185903
167,-513.5582350468062
168,-331.53661628213524
