episodes,rewards
0,17
1,19
2,10
3,38
4,35
5,25
6,12
7,14
8,18
9,16
10,17
11,10
12,23
13,29
14,8
15,23
16,13
17,30
18,13
19,17
20,26
21,21
22,24
23,11
24,15
25,19
26,20
27,18
28,12
29,20
30,13
31,41
32,62
33,38
34,18
35,18
36,40
37,25
38,29
39,13
40,14
41,13
42,16
43,19
44,23
45,28
46,42
47,13
48,28
49,24
50,42
51,14
52,18
53,11
54,25
55,27
56,33
57,10
58,12
59,13
60,21
61,26
62,12
63,21
64,12
65,11
66,16
67,28
68,15
69,40
70,20
71,24
72,21
73,31
74,23
75,22
76,21
77,13
78,32
79,20
80,38
81,14
82,10
83,11
84,20
85,15
86,42
87,18
88,16
89,57
90,18
91,25
92,8
93,11
94,11
95,19
96,26
97,12
98,41
99,34
100,15
101,12
102,19
103,26
104,12
105,31
106,18
107,21
108,53
109,35
110,42
111,21
112,14
113,30
114,21
115,21
116,13
117,74
118,29
119,25
120,64
121,52
122,19
123,79
124,37
125,19
126,53
127,32
128,17
129,60
130,10
131,23
132,24
133,36
134,9
135,37
136,28
137,47
138,30
139,27
140,24
141,16
142,12
143,21
144,51
145,27
146,36
147,15
148,15
149,12
150,51
151,9
152,11
153,46
154,23
155,32
156,12
157,17
158,15
159,27
160,14
161,16
162,11
163,27
164,90
165,20
166,18
167,35
168,17
169,23
170,42
171,29
172,36
173,15
174,74
175,72
176,35
177,44
178,30
179,17
180,30
181,19
182,31
183,20
184,28
185,39
186,22
187,23
188,28
189,16
190,25
191,22
192,16
193,29
194,89
195,29
196,34
197,14
198,24
199,49
200,68
201,40
202,21
203,91
204,75
205,58
206,63
207,32
208,37
209,24
210,31
211,28
212,46
213,124
214,27
215,17
216,54
217,114
218,91
219,33
220,33
221,30
222,32
223,31
224,22
225,38
226,21
227,29
228,68
229,17
230,11
231,36
232,21
233,86
234,83
235,27
236,31
237,33
238,34
239,23
240,48
241,25
242,32
243,50
244,38
245,83
246,32
247,39
248,102
249,57
250,20
251,28
252,22
253,33
254,33
255,48
256,25
257,104
258,18
259,27
260,11
261,35
262,28
263,58
264,19
265,52
266,79
267,98
268,63
269,33
270,66
271,76
272,153
273,72
274,41
275,42
276,21
277,38
278,39
279,45
280,89
281,38
282,49
283,38
284,25
285,48
286,84
287,27
288,46
289,46
290,18
291,63
292,23
293,22
294,88
295,16
296,36
297,32
298,27
299,24
