episodes,rewards
0,-89.88310510345094
1,-81.621414759857
2,-85.35936119364759
3,-53.67109237842797
4,-281.22405620999035
5,-158.50262726019173
6,-157.06701975610167
7,-262.2563164572938
8,-85.16531902688527
9,-238.16880451349095
10,-371.38331107367526
11,-115.04024607726889
12,-21.198044001227387
13,-303.1217477821506
14,-84.85396259607788
15,-124.11144323009913
16,-63.6119880363445
17,-189.85542398149659
18,-278.6297578736911
19,-157.77716791418737
20,-293.4279293074127
21,-384.1505440364438
22,-270.83440422500627
23,-377.6175222453462
24,-358.1563786925045
25,-87.64043825870557
26,-153.09538902374337
27,-359.69238608378316
28,-164.82999366235634
29,-359.6578739935262
30,-206.9983422055857
31,-104.2719868788952
32,-119.95820907443158
33,-251.46381442871606
34,-280.77151264517477
35,-344.0461311309008
36,-129.92362924325235
37,-310.5719421239227
38,-18.014673882820944
39,-290.04841640156064
40,-176.0007389295434
41,-208.0922350509266
42,-156.4460900461384
43,-156.72506775092612
44,-127.94250979975477
45,-190.29475340923904
46,-304.58623840633817
47,-382.4840747809116
48,-268.9614803521059
49,-172.20468088213676
50,-97.4684890941414
51,-147.133006652651
52,-471.5070858655968
53,-53.813530048112824
54,-304.88174056230633
55,-310.22564159902015
56,-438.35932710314785
57,-59.11589003723414
58,-185.96741694655742
59,-100.70344528064611
60,-260.0006680054541
61,-342.7535948577267
62,-115.73612600394189
63,-39.68481783553743
64,-251.47862501113445
65,-104.67523904065665
66,-191.15359128281233
67,-303.8611770319153
68,-98.34300533533616
69,-108.24982886528065
70,-108.50791789745558
71,-64.51533565833142
72,-311.7117679632926
73,-73.23069618733861
74,-164.29601012303044
75,-115.88535917427
76,-389.1503281928456
77,-377.90595142886895
78,-226.15541205410602
79,-102.9425324123984
80,-233.77643249427584
81,-287.19374634453214
82,-81.66477512800822
83,-77.89052320210646
84,-78.10688487136068
85,-99.78004206442354
86,-64.46970844269174
87,-113.18049945719784
88,-180.71398419566077
89,-86.77019759620791
90,-102.93954608226757
91,-208.2047882893272
92,-17.766302053903132
93,-87.84140659299698
94,-270.2597056772458
95,-282.88925204763973
96,17.811333494131148
97,-104.76318608036942
98,-117.62778455836724
99,-118.78736595260393
100,-197.16082460752818
101,-77.8209332486069
102,-325.11336562450157
103,-96.17627130477172
104,-98.58094038886809
105,-187.61066754015772
106,-113.9836828961904
107,-121.69001414326102
108,-62.16563680640223
109,-459.52991764730336
110,-426.8701816680459
111,-93.08425887388807
112,-71.47756661395928
113,-4.364694153018334
114,-136.04143632443407
115,-225.63582981064644
116,-330.751523254887
117,-50.47117629684682
118,-89.2164247589829
119,-131.05889920369367
120,-146.48205748427134
121,-134.2112853914712
122,-108.95617252414053
123,-266.2707465440767
124,-59.2493847753796
125,-145.27465113131697
126,-44.88380075502708
127,-103.84249850476294
128,-176.3917709561021
129,-60.00235846010149
130,-229.24905091748252
131,-102.20726794931117
132,-318.2068835797885
133,-113.77087693063167
134,-271.3520186830506
135,-141.0026548592054
136,-57.349582920495095
137,-133.25616594673392
138,-46.35200444624403
139,-110.0997024000734
140,-108.70734004026359
141,-54.509011655319
142,-93.85691385638621
143,-125.60375194818656
144,-67.37164394640804
145,-87.89425718440494
146,-98.86600977755565
147,-96.58705503131573
148,-100.19939474598502
149,-99.11578829656366
150,-273.91379014277186
151,-142.44097386340604
152,-82.02684800664474
153,-76.77548947699691
154,-196.24474651365716
155,-76.6176205229922
156,-79.98472722350408
157,-102.68957801169394
158,-178.44038067377022
159,-105.85862015914734
160,-97.22519414408829
161,-266.90276296612166
162,-104.17496072022858
163,-103.4092903440164
164,-40.117131631342076
165,-52.4798427630013
166,-136.29028905766972
167,-98.09486957100266
168,-293.8171595575549
169,-298.87481469204647
170,-0.6349937221860813
171,-96.08712990743936
172,-337.87739780421407
173,-223.61911865134618
174,-88.90101044119774
175,-84.55278903362463
176,-307.6619769591119
177,-114.81278386284617
178,-381.9088455834785
179,-186.5082168666047
180,-385.1812257280546
181,-189.41052939121383
182,-97.20753615804298
183,-193.6003930180704
184,-144.50300368796306
185,-87.20289560853728
186,-86.05974854776713
187,-71.51196645428243
188,-130.06749067489886
189,-298.30008865461275
190,-234.77923857679758
191,-77.75439840757709
192,-140.05899061055112
193,-73.09340851514538
194,-211.32353167167963
195,-38.10673869969524
196,-121.57934060383106
197,-212.73751671955122
198,-96.89141023014791
199,-45.70852792205386
200,-80.81789029511829
201,-86.9677202242609
202,-80.33286416754655
203,-195.39806438363823
204,-161.36883287787958
205,-136.59925648644312
206,-119.36921922098257
207,-202.34031252119962
208,-95.11193283410715
209,-56.62526956536945
210,-58.077693051980894
211,-113.94096807055801
212,-219.7090113611049
213,-416.65291361827764
214,-95.25488003091567
215,-104.02945108467236
216,-213.87240397121127
217,-226.38626041229693
218,-124.43950150163367
219,-62.70730811557558
220,-94.15582613505026
221,-111.67989755242998
222,-65.98565011865244
223,-91.52511600117165
224,-116.11212505009735
225,-166.42255447976777
226,-46.34804235201858
227,-180.83933068431534
228,-121.97726071239617
229,-132.21695549504875
230,-115.17119906405574
231,-113.55365336882362
232,-440.7221894558692
233,-102.07219839080352
234,-196.91997789749576
235,-93.88820061925215
236,-303.2158153745329
237,-132.62132743651003
238,-168.9011953506696
239,-84.26131611082192
240,-85.08018759619594
241,-194.33031310397703
242,-157.7079435729381
243,-82.85305970237653
244,-188.46703738244128
245,-211.40206790301275
246,-185.48739169211302
247,9.901222545197939
248,-136.49896845422583
249,-152.0060264592887
250,-134.40650858905778
251,-168.46472488840905
252,-150.42430461667976
253,-119.5994544301619
254,-129.45706530396586
255,-96.09522139694731
256,-151.62500408665943
257,-59.0088601404818
258,-120.81751266522302
259,-120.4634727048687
260,-245.70773565708626
261,-90.22290658277622
262,-2.4085777367820356
263,-94.6211349276517
264,-155.42606031191596
265,-85.65026032835225
266,-99.4594666689114
267,-193.0112355672405
268,-96.15540628819157
269,-76.26752633331361
270,-147.57201808131612
271,-81.46045543457561
272,-235.03871776439337
273,-75.29066652834807
274,-67.03787912606927
275,-71.31122225551385
276,-71.49068597632315
277,1.9279211294421117
278,-62.4944039926055
279,-72.00457075949824
280,-87.05591020919137
281,-99.75503322465912
282,-240.92746104431637
283,-105.98634625182196
284,-101.5914897157328
285,-111.4773814746594
286,-92.46568856662935
287,-62.39446025600418
288,-357.69787843761117
289,-71.73490897978023
290,-72.21752814593125
291,-135.8868539363035
292,-280.4282693074171
293,-114.4432707805041
294,-80.27615674111382
295,-102.17978173859845
296,-55.09724417562016
297,-138.72407891390532
298,-168.54734166128574
299,-73.71627720255037
