episodes,rewards
0,-110.66420062275323
1,-485.2781119357652
2,-154.21542752906058
3,-140.65760155422976
4,-141.94745906251478
5,-648.7041721572118
6,-480.76036701888546
7,-492.2575702138886
8,-456.76631672906456
9,-399.3321300603739
10,-465.4937680045615
11,-1034.4972866448388
12,-531.3161624282462
13,-389.85642477200844
14,-587.7585906252168
15,-817.1243291262483
16,-358.288593474981
17,-435.87386686198874
18,-414.74192956415703
19,-423.87420436715297
20,-389.27750074918924
21,-411.53594773886147
22,-374.86171267988084
23,-472.08696375642245
24,-765.8879727643769
25,-473.41029610407776
26,-845.3162263493449
27,-461.2429285775946
28,-432.1880363154923
29,-469.32465201682453
30,-415.5998683495244
31,-680.0485438343796
32,-430.9249286842763
33,-502.4913032871872
34,-517.4961072036731
35,-382.19325564562894
36,-417.2300761370077
37,-1023.7329282905691
38,-434.54340657324633
39,-443.31578274798335
40,-633.8883542207631
41,-455.97711458561537
42,-415.23300557853514
43,-502.16262132543784
44,-503.4806050779555
45,-749.3330114828968
46,-457.34074697622583
47,-565.4071582995807
48,-764.2686244258541
49,-749.2832272838862
50,-728.7143071880068
51,-501.5822593056937
52,-413.44377102162287
53,-459.7432448329814
54,-402.06020281336896
55,-641.0946886158498
56,-572.8556458227097
57,-503.50133199821715
58,-1074.0086818856646
59,-425.19350635188374
60,-798.6494753475873
61,-725.2285085152415
62,-1011.0741552885482
63,-754.5988064925866
64,-440.64352346996833
65,-458.2471606114196
66,-543.2626964582151
67,-733.2934576945974
68,-686.4906749927313
69,-573.9771303646105
70,-474.37377799463906
71,-1050.417401949177
72,-842.4290600574375
73,-518.4442644724614
74,-458.4991776244031
75,-335.89387384493523
76,-490.52404436162095
77,-474.6112896122484
78,-361.348744347587
79,-470.0302076955164
80,-503.70132656667806
81,-589.8170715163296
82,-539.8439734253018
83,-446.87568451977177
84,-781.9503386746617
85,-786.5781565626719
86,-369.04141905581935
87,-399.6246519632956
88,-538.6904134098984
89,-591.0063779138244
90,-385.40804410549873
91,-670.4229993957025
92,-491.2671889528782
93,-731.8087973948218
94,-568.5131309329788
95,-414.319054794132
96,-467.10617677594973
97,-966.7586052294848
98,-537.2696624915864
99,-551.0405576367132
100,-1002.2302685808874
101,-549.92589648799
102,-499.4198256796034
103,-758.4210618936344
104,-474.57770405319206
105,-385.0272333129262
106,-452.8511492043453
107,-719.2012039507779
108,-489.32001187476556
109,-703.7169256429893
110,-434.0732341313584
111,-501.05148567313785
112,-507.3831226589874
113,-444.86607999630155
114,-368.508927120951
115,-468.4407698244771
116,-701.1648883057645
117,-477.7248714251205
118,-486.9457975364525
119,-433.14338241926896
120,-798.5410491144108
121,-379.3161403465557
122,-742.5361293063602
123,-478.76669001674236
124,-486.814237921541
125,-518.6720770608192
126,-433.1670973888682
127,-745.8620315699305
128,-516.4301775414538
129,-614.3076771567268
130,-498.6615529492658
131,-719.8011800930392
132,-662.1250002431618
133,-437.30832100346134
134,-442.9142723520702
135,-452.99625455195854
136,-619.3942882009768
137,-540.1374004768144
138,-884.898151902991
139,-525.6113391163805
140,-377.44934813533536
141,-747.1900902674065
142,-391.92739823901064
143,-510.61486551170884
144,-954.3164994570503
145,-542.921773131013
146,-718.3332508190588
147,-461.1348603098345
148,-698.2022117858016
149,-605.8474498258835
150,-445.9078294839199
151,-722.120876331446
152,-534.7156220370346
153,-511.57770417368624
154,-389.4327160132705
155,-529.3183201530042
