episodes,rewards
0,-111.79125784280404
1,-440.00656613740523
2,-192.36211147600943
3,-99.3714187583769
4,-128.68260911216368
5,-114.64540760386343
6,-472.92171702864624
7,-271.81741118814733
8,-502.27474355020996
9,-475.9208169482941
10,-504.70863765336446
11,-813.3163705906803
12,-580.5319862096258
13,-704.7858073174962
14,-447.50488991162666
15,-1207.1811917298228
16,-630.0374028400618
17,-540.2368806395125
18,-1121.299452334726
19,-612.86549574302
20,-745.0188980096414
21,-779.8964544812058
22,-350.1691569036508
23,-638.4109702967502
24,-835.472305574584
25,-818.0506230433174
26,-815.575297207995
27,-651.5320690137065
28,-609.117795085867
29,-545.2350369997222
30,-611.4428723472377
31,-685.626912642137
32,-798.9372739322524
33,-661.9268890978104
34,-604.754918038632
35,-796.3057190862896
36,-734.6706934722273
37,-556.6245404810984
38,-627.1101874396752
39,-682.1137649406925
40,-629.8951681784529
41,-594.4282582593837
42,-599.0783710352133
43,-616.7399451225265
44,-619.7953722461708
45,-648.7837481235126
46,-594.4595933824102
47,-548.0760628929879
48,-559.7363351202025
49,-977.0071208734382
50,-541.7895459711284
51,-512.2245435578914
52,-599.0636735491236
53,-540.7218072361251
54,-286.3688579550066
55,-506.59495903917355
56,-453.1843932681713
57,-640.1474464508785
58,-985.5818612432378
59,-457.49383981637084
60,-487.5190248857732
61,-445.330776638128
62,-725.8838416983924
63,-450.505521755852
64,-846.645610964328
65,-528.4280290800423
66,-234.51257854622477
67,-508.7072856153778
68,-316.7385800885154
69,-482.3455313268658
70,-759.9395375385674
71,-285.8891466183227
72,-432.29615378257137
73,-228.40636691709003
74,-336.8164137170354
75,-171.9058320982764
76,-119.23164845714915
77,-220.29322788236556
78,-391.66757170217306
79,-387.5159039023079
80,-451.4128466076164
81,-352.59387769181484
82,-317.29202103950587
83,-94.72398307772707
84,-95.33843246551992
85,-106.35572240587523
86,-332.062873392366
87,-397.1333039762966
88,-459.7780899082974
89,-276.8306670424365
90,-329.5971896511858
91,-90.96121314763519
92,-89.09828477172073
93,-311.5862076428981
94,-59.47523811860427
95,-155.7033846102195
96,-78.18527696729791
97,-410.721910191169
98,-138.38543901809334
99,-13.3686828951449
100,-73.88352751570378
101,-80.547574495209
102,-232.09101016791635
103,-397.0732618209639
104,-168.17459195179646
105,-189.62592529001836
106,-279.1260407866022
107,-104.659429734583
108,-320.99793753094764
109,-2.3271283057601693
110,-277.1540542497489
111,-283.2807100081685
112,-141.1584452441927
113,-76.58455180210353
114,-175.37123282908237
115,-119.80416033572035
116,-159.3056548153636
117,-477.54082014247
118,-140.79373418812617
119,-58.170651915964285
120,-318.1782593026163
121,-215.4071266625913
122,-178.26025459378786
123,-110.41335784414676
124,-134.40422936017205
125,-146.8891860386504
126,-130.68402395175804
127,-51.64523390617545
128,-178.19727106262866
129,-83.18197936738272
130,-95.76655742488177
131,-190.6544055060574
132,-73.84312387037792
133,-86.34454960734581
134,-69.31098136751665
135,-104.95035027838273
136,-136.33968386260992
137,-80.4628042171681
138,-105.14788659613578
139,-107.04007536005312
140,-134.85340850088625
141,-201.77984400139547
142,-98.23583667054083
143,-183.9228902577151
144,-123.32694274465578
145,-107.01965081315055
146,-84.60347365760825
147,-140.27932551039288
148,-92.97337878541347
149,-104.50797409995936
150,-153.80998335696785
151,-111.28159857698057
152,-86.32780501057272
153,-151.30336309540695
154,-190.95939600157493
155,-66.26852153207398
156,-77.61575583094762
157,-162.7463488498867
158,-102.82944216410942
159,-112.11321361078424
160,-197.23534555275438
161,-140.85272492479422
162,-84.180785843887
163,-80.82479376795706
164,-181.83998125795586
165,-112.32917728213829
166,-212.54021783901618
167,-80.05166937417123
168,-278.4460782457487
169,-220.7190832032934
170,-156.78401577226768
171,-120.26955751137247
172,-148.1363104303398
173,-118.72399320452182
174,-296.86257679931174
175,-68.60567884985177
176,-260.20962685767256
177,-209.65371205864193
178,-96.89999091707138
179,-229.6126739462187
180,-194.99968897848288
181,-270.21607463171233
182,-250.3121163244199
183,-235.10184698002115
184,-279.5124025067698
185,-147.86416303395697
186,-158.80605474157448
187,-305.2142527081711
188,-187.12178539033238
189,-233.06824085670786
190,-203.86125953983114
191,-138.40586341850312
192,-89.01866509573304
193,38.58952755916164
194,-112.82019345809542
195,-0.27044302479644955
196,-118.11026709589609
197,-112.3520646252695
198,-177.58285955504655
199,-120.83187765021708
200,-116.98118262698625
201,-95.18907371211459
202,-95.19462557520872
203,-62.71827519144931
204,-111.32802131655203
205,-164.06554381999766
206,-326.7294053014444
207,-114.0652855620092
208,-144.52280321474535
209,-188.04317543477902
210,-112.99588346612495
211,-182.61523481495476
212,-116.49471248378363
213,-100.44579528105048
214,-168.18794073683887
215,-214.4403607834596
216,-51.156910975806966
217,-120.5261604265651
218,-151.67056436154823
219,-147.03614563717628
220,-132.72826504045582
221,-101.55651073549635
222,-53.05469194899109
223,-35.122093947000565
224,-85.56172124936708
225,-179.78283372344998
226,-269.97630519774395
227,-174.2932996361905
228,-321.2033653021312
229,-140.15643570389028
230,-54.885447280886325
231,-179.98708223420937
232,-157.57186656634877
233,-228.4637073982178
234,-50.8869829581181
235,-125.28154920187083
236,-172.74517756132246
237,-27.554605745491045
238,-180.55254009024145
239,-124.03561410970124
240,-30.345219395933583
241,-85.60185807981247
242,-238.4354222131103
243,-55.46879414778077
244,-231.7593805289033
245,-219.89731977592734
246,-95.49828266813964
247,-133.49796270490583
248,-45.754269729223864
249,-427.9150341493831
250,-266.52115991903474
251,-265.1011867068582
252,-32.326909868358314
253,-49.34236108642099
254,-409.00324747401254
255,-312.4007414622314
256,-167.2562753541454
257,-357.52314903583755
258,-353.37911845713495
259,-268.517089857426
260,-240.43018744515692
