episodes,rewards
0,-151.4278800135147
1,-100.53800142310298
2,-364.57901457876676
3,-89.11470797756519
4,-170.46995906651824
5,-194.58506804960527
6,-431.15849931212426
7,-124.27032318717613
8,-317.0949812356672
9,-451.2717816773405
10,-231.50302474436114
11,-224.4291424288962
12,-243.6311195564681
13,-182.59925958530522
14,-226.34013986199477
15,-144.26105770675758
16,-222.52248494062368
17,-159.85435624346272
18,-114.24713180652331
19,-18.91021594433019
20,-116.12111804470966
21,-284.6925332975202
22,-103.93343140818396
23,-263.9644444548743
24,-154.21833404304354
25,-158.23625666234494
26,-446.80529777827536
27,-143.88843963184115
28,-131.55350998973512
29,-130.80302753969616
30,-278.30968470044854
31,-131.24455281033858
32,-111.68909460628237
33,-106.18818640715403
34,-113.16495312892528
35,-224.58891235305077
36,-109.6439502847366
37,-137.90354134862557
38,-112.1099890230198
39,-126.87366369178343
40,-127.95523915881762
41,-115.53115748112803
42,-99.63243968476723
43,-115.719368504131
44,-136.23883949376153
45,-145.93281745053415
46,-155.30971214256851
47,-138.50890677957742
48,-198.76715387149386
49,-213.65115451252115
50,-232.81568061460703
51,-294.98129710326793
52,-120.64261615783082
53,-347.64730679803984
54,-102.70940383664987
55,-238.72218427771088
56,-103.88022761816346
57,-229.4201348278478
58,-426.7217205144868
59,-187.5438544173068
60,-459.04199563078276
61,-177.35652426599944
62,-228.37638407915512
63,-295.5220588836985
64,-1186.8196266449793
65,-476.684207613746
66,-541.1583435147089
67,-553.057307472255
68,-586.4353738431801
69,-381.38356226796355
70,-118.4030693434502
71,-535.6787951610938
72,-323.8173357839962
73,-304.96674633380485
74,-394.1184432873342
75,-194.84082064660478
76,-344.1437257481429
77,-258.2430659013817
78,-207.20758249784944
79,-215.709935533634
80,-310.89093682868753
81,-72.2367169046006
82,-179.1396615836081
83,-239.1084274783658
84,-349.242407389883
85,-118.86430159789087
86,-310.033163369688
87,-240.57691731648103
88,-222.6795875595104
89,-282.05563662174404
90,-289.1137326428154
91,-314.4642749927122
92,-287.5385931983011
93,-416.83010448133064
94,-316.83722628315786
95,-96.50698930124977
96,-241.80407033361953
97,-132.85277521886857
98,-95.88844115763932
99,-133.35545003714572
100,-215.06458754474085
101,-85.09356206423303
102,-377.4264048364292
103,-63.34854763511589
104,-110.57478633484088
105,-138.47373343206442
106,-172.13506359393185
107,-99.90401301499459
108,-63.72140795139876
109,-189.17848823566803
110,-93.93898346037193
111,8.932996791527557
112,-159.4614355733945
113,-291.75268329837763
114,15.931780580218785
115,-96.36896710177417
116,-507.1700702594469
117,-159.5534904205743
118,-523.9273340699694
119,-162.53180095423198
120,-76.2692799151351
121,-435.3798469531142
122,-258.68430113054245
123,-137.0592256807083
124,-26.525437452071728
125,-309.39248642351544
126,-50.14606543903547
127,15.005663526641214
128,-59.66157765528031
129,-14.483010618360524
130,-7.331316133732884
131,42.66266956732841
132,-311.28705854141367
133,-129.290222456573
134,-91.21838979073276
135,-29.77477778730305
136,-331.8240547231741
137,-49.38170446163586
138,-519.8835512589741
139,-202.35455317449555
140,-195.60822684786046
141,-90.791435000646
142,-10.53737797919544
143,-217.2188884013262
144,-69.27756226529155
145,-25.329135285980556
146,-260.54596389691335
147,-20.56544096275374
148,-112.45622635948178
149,-161.6905965631781
150,-388.7862608915355
151,-639.080825978673
152,-244.93045726073476
153,-10.037699973684823
154,-479.7551535341692
155,-263.6610766507017
156,-50.269462478367494
157,-516.9107006568302
158,-366.2029561992489
