episodes,rewards
0,-180.23635783660433
1,-123.62853275395905
2,-142.70312906234625
3,-79.91850343341508
4,-128.98501571286383
5,-123.5578635736941
6,-126.50639017082534
7,-119.73776166744082
8,-152.34393880301363
9,-124.74110814016291
10,-162.53630560596656
11,-86.64315904509039
12,-106.09554575267458
13,-102.38962219596019
14,-130.7156320179682
15,-45.2576992574856
16,-109.25656322951838
17,-165.256805269701
18,-191.7302294188758
19,-10.540549548275777
20,-203.79919818307803
21,-117.1809431050871
22,-157.30609094195304
23,-145.56046654685986
24,-179.16152355685904
25,-30.438416345103178
26,-139.1241407499034
27,-196.40957284247503
28,-139.27982792934492
29,-142.8228213548881
30,-125.38607047594084
31,-131.81596988805842
32,-100.78118405526922
33,-152.98356195191712
34,-159.46998337866842
35,-93.7524772832179
36,-139.55354593606427
37,-163.23673413198628
38,37.5232799184854
39,-158.90832105018768
40,-120.95186191857363
41,-130.29683793984813
42,-147.31525122683502
43,-92.33256987998962
44,-118.38562657669917
45,-125.47823710285908
46,-194.0586267935916
47,-89.21942892329011
48,-136.64205647319434
49,-168.83958726230986
50,-150.95732680609626
51,-124.11248071011289
52,-141.60984489166907
53,-131.57839704091603
54,-134.80714231128258
55,-57.330523152301225
56,-1.2208860700775404
57,-130.8061435343217
58,-118.344156139425
59,-145.59099819768116
60,-127.7364655719768
61,-103.88977399931213
62,-155.96202710271936
63,-164.00984391958724
64,-165.82675026883376
65,-135.73900129271243
66,-138.14869225539255
67,-133.64917815854963
68,-161.68632030187743
69,-170.294099818424
70,-21.372189040117746
71,-79.28493432666448
72,-151.76685215033905
73,-40.06240266209164
74,-118.44627071342995
75,-121.41987546770451
76,-135.76123682893567
77,-73.07149733268332
78,-150.3032040590447
79,-107.97283498253094
80,-122.84425708978046
81,-180.60373382866743
82,-116.65301391830977
83,-84.42989213714384
84,-119.50514434581333
85,-121.28687751063384
86,-123.80561779553807
87,-146.58475920585425
88,-127.05682522743083
89,-123.42436177437472
90,-101.02761924813598
91,-131.3149491191758
92,-142.70765898077485
93,-159.41989352608917
94,-177.86177863235898
95,-155.27384140305736
96,-118.25628061630658
97,-135.2791918465263
98,-127.03855291421021
99,-113.43460079495736
100,-124.28753198030168
101,-195.48271108565194
102,-100.02514294444131
103,-120.0440192213915
104,-17.54346528646441
105,-177.6188246911559
106,-138.42672897086982
107,-40.428382011997826
108,-139.8313402019264
109,-186.34006250791043
110,-123.464728587037
111,-191.0472006357169
112,-190.710641510149
113,-121.73664197331436
114,-124.30763147779001
115,-147.10624648736703
116,-127.92529711841144
117,-137.45657786210805
118,12.224332558571234
119,-99.45087661056635
120,-176.58289052177014
121,-141.50340690789244
122,-161.98099782256253
123,-105.62876668578687
124,-121.846972494964
125,-142.917846928153
126,-133.3568133863609
127,-92.53807879939771
128,2.235588612939509
129,-168.15126261232513
130,-107.67354308054865
131,-186.06419851495073
132,-128.70688270213003
133,-144.2538929275276
134,-132.25363556563042
135,-130.84925173574624
136,-173.2128832543392
137,-142.91517491679662
138,-103.6019147528921
139,-146.08782571982655
140,-122.5347216922487
141,-107.58290614861224
142,-125.29351077437175
143,-123.21945865838006
144,-168.3457498007214
145,-126.40682319468391
146,-140.02642685486666
147,-130.31874862851012
148,-111.64979232339897
149,-168.8507207947614
150,-129.20790060277602
151,-212.86266117395996
152,-112.10344716654589
153,-175.92520654221676
154,-106.15737968468869
155,-115.9424614253453
156,-134.8923868775954
157,-356.3166250639896
158,-94.61073857798138
159,-18.283803282085188
160,-193.87779293805653
161,-88.05846616850206
162,-139.79256791926372
163,-114.91652913567751
164,-93.22163161871941
165,-105.8221774878524
166,-124.61394328707945
167,-110.81394343695789
168,-131.7895759303484
169,-89.61001313488339
170,-121.30084428636422
171,-92.4851032081404
172,-110.25980464728642
173,-185.66292180915696
174,-111.36081893324103
175,-112.60786914100603
176,2.5705330542002116
177,-161.4766986278029
178,-281.4055669802935
179,-167.86865285431082
180,-154.08326518106327
